Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Scouting,11
1501,Inactive,189
2001,Scouting,25
2001,Inactive,175
2501,Scouting,38
2501,Inactive,162
3001,Scouting,38
3001,Inactive,162
3501,Scouting,38
3501,Inactive,162
4001,Scouting,38
4001,Inactive,162
4501,Scouting,38
4501,Inactive,162
5001,Scouting,38
5001,Inactive,162
5501,Scouting,38
5501,Inactive,162
6001,Scouting,37
6001,Assessing,1
6001,Inactive,162
6501,Scouting,34
6501,Assessing,4
6501,Inactive,162
7001,Scouting,34
7001,Assessing,4
7001,Inactive,162
7501,Scouting,34
7501,Assessing,4
7501,Inactive,162
8001,Scouting,34
8001,Assessing,4
8001,Inactive,162
8501,Scouting,34
8501,Assessing,4
8501,Inactive,162
9001,Scouting,34
9001,Assessing,4
9001,Inactive,162
9501,Scouting,34
9501,Assessing,4
9501,Inactive,162
10001,Scouting,34
10001,Assessing,4
10001,Inactive,162
10501,Scouting,34
10501,Assessing,4
10501,Inactive,162
11001,Scouting,34
11001,Assessing,4
11001,Inactive,162
11501,Scouting,33
11501,Assessing,5
11501,Inactive,162
12001,Scouting,33
12001,Assessing,5
12001,Inactive,162
12501,Scouting,33
12501,Assessing,5
12501,Inactive,162
13001,Scouting,33
13001,Assessing,5
13001,Inactive,162
13501,Scouting,32
13501,Assessing,6
13501,Inactive,162
14001,Scouting,32
14001,Assessing,6
14001,Inactive,162
14501,Scouting,32
14501,Assessing,6
14501,Inactive,162
15001,Scouting,31
15001,Assessing,7
15001,Inactive,162
15501,Scouting,31
15501,Assessing,7
15501,Inactive,162
16001,Scouting,31
16001,Assessing,7
16001,Inactive,162
16501,Scouting,31
16501,Assessing,7
16501,Inactive,162
17001,Scouting,31
17001,Assessing,7
17001,Inactive,162
17501,Scouting,30
17501,Assessing,8
17501,Inactive,162
18001,Scouting,30
18001,Assessing,8
18001,Inactive,162
18501,Scouting,30
18501,Assessing,8
18501,Inactive,162
19001,Scouting,30
19001,Assessing,8
19001,Inactive,162
19501,Scouting,30
19501,Assessing,8
19501,Inactive,162
20001,Scouting,29
20001,Assessing,9
20001,Inactive,162
20501,Scouting,29
20501,Assessing,8
20501,Recruiting,1
20501,Inactive,162
21001,Scouting,29
21001,Assessing,8
21001,Recruiting,1
21001,Inactive,162
21501,Scouting,28
21501,Assessing,8
21501,Following,1
21501,Recruiting,1
21501,Inactive,162
22001,Scouting,28
22001,Assessing,8
22001,Following,1
22001,Recruiting,1
22001,Inactive,162
22501,Scouting,29
22501,Assessing,7
22501,Following,1
22501,Recruiting,1
22501,Inactive,162
23001,Scouting,30
23001,Assessing,6
23001,Following,1
23001,Recruiting,1
23001,Inactive,162
23501,Scouting,30
23501,Assessing,6
23501,Following,1
23501,Recruiting,1
23501,Inactive,162
24001,Scouting,30
24001,Assessing,5
24001,Following,1
24001,Recruiting,2
24001,Inactive,162
24501,Scouting,30
24501,Assessing,5
24501,Following,1
24501,Recruiting,2
24501,Inactive,162
25001,Scouting,30
25001,Assessing,5
25001,Following,1
25001,Recruiting,2
25001,Inactive,162
25501,Scouting,30
25501,Assessing,6
25501,Recruiting,2
25501,Inactive,162
26001,Scouting,28
26001,Assessing,8
26001,Recruiting,2
26001,Inactive,162
26501,Scouting,28
26501,Assessing,9
26501,Recruiting,1
26501,Inactive,162
27001,Scouting,29
27001,Assessing,8
27001,Recruiting,1
27001,Inactive,162
27501,Scouting,28
27501,Assessing,9
27501,Recruiting,1
27501,Inactive,162
28001,Scouting,28
28001,Assessing,9
28001,Recruiting,1
28001,Inactive,162
28501,Scouting,28
28501,Assessing,9
28501,Recruiting,1
28501,Inactive,162
29001,Scouting,28
29001,Assessing,9
29001,Reversing,1
29001,Inactive,162
29501,Scouting,29
29501,Assessing,8
29501,Recruiting,1
29501,Inactive,162
30001,Scouting,29
30001,Assessing,8
30001,Recruiting,1
30001,Inactive,162
30501,Scouting,29
30501,Assessing,8
30501,Recruiting,1
30501,Inactive,162
31001,Scouting,29
31001,Assessing,8
31001,Recruiting,1
31001,Inactive,162
31501,Assessing,10
31501,Scouting,27
31501,Recruiting,1
31501,Inactive,162
32001,Assessing,11
32001,Scouting,26
32001,Recruiting,1
32001,Inactive,161
32001,Following,1
32501,Assessing,10
32501,Scouting,26
32501,Recruiting,2
32501,Inactive,161
32501,Following,1
33001,Assessing,10
33001,Scouting,26
33001,Recruiting,2
33001,Inactive,161
33001,Following,1
33501,Assessing,10
33501,Scouting,26
33501,Recruiting,2
33501,Inactive,161
33501,Following,1
34001,Assessing,10
34001,Scouting,26
34001,Recruiting,2
34001,Inactive,161
34001,Following,1
34501,Assessing,10
34501,Scouting,25
34501,Following,2
34501,Recruiting,2
34501,Inactive,161
35001,Assessing,11
35001,Scouting,24
35001,Following,2
35001,Recruiting,2
35001,Inactive,161
35501,Assessing,11
35501,Scouting,24
35501,Following,2
35501,Recruiting,2
35501,Inactive,161
36001,Assessing,9
36001,Scouting,25
36001,Following,2
36001,Recruiting,3
36001,Inactive,161
36501,Assessing,9
36501,Scouting,25
36501,Following,2
36501,Recruiting,3
36501,Inactive,161
37001,Assessing,9
37001,Scouting,25
37001,Following,2
37001,Recruiting,3
37001,Inactive,161
37501,Assessing,10
37501,Scouting,24
37501,Following,2
37501,Recruiting,3
37501,Inactive,161
38001,Assessing,10
38001,Scouting,24
38001,Following,2
38001,Recruiting,3
38001,Inactive,161
38501,Assessing,10
38501,Scouting,24
38501,Following,3
38501,Recruiting,3
38501,Inactive,160
39001,Assessing,9
39001,Scouting,24
39001,Recruiting,4
39001,Following,3
39001,Inactive,160
39501,Assessing,9
39501,Scouting,24
39501,Recruiting,4
39501,Following,3
39501,Inactive,160
40001,Assessing,9
40001,Scouting,23
40001,Recruiting,4
40001,Following,4
40001,Inactive,160
40501,Assessing,10
40501,Scouting,22
40501,Recruiting,4
40501,Following,4
40501,Inactive,160
41001,Assessing,11
41001,Scouting,22
41001,Recruiting,4
41001,Following,3
41001,Inactive,160
41501,Assessing,12
41501,Scouting,22
41501,Recruiting,4
41501,Following,2
41501,Inactive,160
42001,Assessing,11
42001,Scouting,23
42001,Recruiting,4
42001,Following,2
42001,Inactive,160
42501,Assessing,10
42501,Scouting,24
42501,Recruiting,4
42501,Following,2
42501,Inactive,160
43001,Assessing,11
43001,Scouting,24
43001,Recruiting,4
43001,Inactive,160
43001,Following,1
43501,Assessing,10
43501,Scouting,24
43501,Recruiting,5
43501,Inactive,159
43501,Following,2
44001,Assessing,10
44001,Scouting,24
44001,Recruiting,5
44001,Inactive,159
44001,Following,2
44501,Assessing,10
44501,Scouting,24
44501,Recruiting,5
44501,Inactive,159
44501,Following,2
45001,Assessing,9
45001,Scouting,25
45001,Recruiting,5
45001,Inactive,159
45001,Following,2
45501,Assessing,9
45501,Scouting,25
45501,Recruiting,5
45501,Inactive,159
45501,Following,2
