Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Inactive,193
1501,Scouting,7
2001,Inactive,180
2001,Scouting,20
2501,Scouting,29
2501,Inactive,171
3001,Scouting,29
3001,Inactive,171
3501,Scouting,30
3501,Inactive,170
4001,Scouting,30
4001,Inactive,170
4501,Scouting,30
4501,Inactive,170
5001,Scouting,28
5001,Assessing,2
5001,Inactive,170
5501,Scouting,28
5501,Assessing,2
5501,Inactive,170
6001,Scouting,27
6001,Assessing,3
6001,Inactive,170
6501,Scouting,26
6501,Assessing,4
6501,Inactive,170
7001,Scouting,26
7001,Assessing,4
7001,Inactive,170
7501,Scouting,26
7501,Assessing,4
7501,Inactive,170
8001,Scouting,26
8001,Assessing,4
8001,Inactive,170
8501,Scouting,24
8501,Assessing,6
8501,Inactive,170
9001,Scouting,24
9001,Assessing,6
9001,Inactive,170
9501,Scouting,24
9501,Assessing,6
9501,Inactive,170
10001,Scouting,24
10001,Assessing,6
10001,Inactive,170
10501,Scouting,23
10501,Assessing,7
10501,Inactive,170
11001,Scouting,23
11001,Assessing,7
11001,Inactive,170
11501,Scouting,23
11501,Assessing,7
11501,Inactive,170
12001,Scouting,22
12001,Assessing,8
12001,Inactive,170
12501,Scouting,22
12501,Assessing,8
12501,Inactive,170
13001,Scouting,21
13001,Assessing,9
13001,Inactive,170
13501,Scouting,21
13501,Assessing,9
13501,Inactive,170
14001,Scouting,20
14001,Assessing,10
14001,Inactive,170
14501,Scouting,20
14501,Assessing,10
14501,Inactive,170
15001,Scouting,19
15001,Assessing,11
15001,Inactive,170
15501,Scouting,19
15501,Assessing,11
15501,Inactive,170
16001,Scouting,19
16001,Assessing,11
16001,Inactive,170
16501,Scouting,19
16501,Assessing,11
16501,Inactive,170
17001,Scouting,19
17001,Assessing,11
17001,Inactive,170
17501,Scouting,19
17501,Assessing,11
17501,Inactive,170
18001,Scouting,19
18001,Assessing,11
18001,Inactive,170
18501,Scouting,19
18501,Assessing,11
18501,Inactive,170
19001,Scouting,18
19001,Assessing,12
19001,Inactive,170
19501,Scouting,18
19501,Assessing,11
19501,Recruiting,1
19501,Inactive,170
20001,Scouting,18
20001,Assessing,11
20001,Recruiting,1
20001,Inactive,170
20501,Scouting,19
20501,Assessing,10
20501,Recruiting,1
20501,Inactive,170
21001,Scouting,19
21001,Assessing,9
21001,Recruiting,2
21001,Inactive,170
21501,Scouting,19
21501,Assessing,9
21501,Recruiting,2
21501,Inactive,169
21501,Following,1
22001,Scouting,19
22001,Assessing,9
22001,Recruiting,2
22001,Inactive,169
22001,Following,1
22501,Scouting,20
22501,Assessing,8
22501,Recruiting,2
22501,Inactive,169
22501,Following,1
23001,Scouting,20
23001,Assessing,8
23001,Recruiting,2
23001,Inactive,169
23001,Following,1
23501,Scouting,19
23501,Assessing,9
23501,Recruiting,2
23501,Inactive,168
23501,Following,2
24001,Scouting,20
24001,Assessing,8
24001,Recruiting,2
24001,Inactive,168
24001,Following,2
24501,Scouting,19
24501,Assessing,9
24501,Recruiting,2
24501,Inactive,168
24501,Following,2
25001,Scouting,19
25001,Assessing,9
25001,Recruiting,2
25001,Inactive,169
25001,Following,1
25501,Scouting,19
25501,Assessing,8
25501,Recruiting,2
25501,Following,2
25501,Inactive,169
26001,Scouting,20
26001,Assessing,7
26001,Recruiting,2
26001,Following,2
26001,Inactive,169
26501,Scouting,20
26501,Assessing,7
26501,Recruiting,2
26501,Following,2
26501,Inactive,169
27001,Scouting,19
27001,Assessing,8
27001,Recruiting,2
27001,Following,2
27001,Inactive,169
27501,Scouting,19
27501,Assessing,7
27501,Recruiting,3
27501,Following,2
27501,Inactive,169
28001,Scouting,20
28001,Assessing,7
28001,Recruiting,3
28001,Inactive,169
28001,Following,1
28501,Scouting,20
28501,Assessing,7
28501,Recruiting,3
28501,Inactive,169
28501,Following,1
29001,Scouting,20
29001,Assessing,7
29001,Recruiting,3
29001,Inactive,169
29001,Following,1
29501,Scouting,19
29501,Assessing,8
29501,Recruiting,3
29501,Inactive,168
29501,Following,2
30001,Scouting,20
30001,Assessing,7
30001,Recruiting,3
30001,Inactive,168
30001,Following,2
30501,Scouting,20
30501,Assessing,7
30501,Recruiting,3
30501,Inactive,168
30501,Following,2
31001,Scouting,18
31001,Assessing,7
31001,Following,3
31001,Recruiting,4
31001,Inactive,168
31501,Scouting,19
31501,Assessing,6
31501,Recruiting,5
31501,Inactive,168
31501,Following,2
32001,Scouting,19
32001,Assessing,6
32001,Recruiting,5
32001,Inactive,168
32001,Following,2
32501,Scouting,19
32501,Assessing,6
32501,Recruiting,5
32501,Inactive,168
32501,Following,2
33001,Scouting,19
33001,Assessing,6
33001,Recruiting,5
33001,Inactive,168
33001,Following,2
33501,Scouting,19
33501,Assessing,6
33501,Recruiting,5
33501,Inactive,167
33501,Following,3
34001,Scouting,19
34001,Assessing,6
34001,Recruiting,5
34001,Inactive,167
34001,Following,3
34501,Scouting,19
34501,Assessing,6
34501,Recruiting,5
34501,Inactive,167
34501,Following,3
35001,Scouting,18
35001,Assessing,6
35001,Recruiting,6
35001,Following,3
35001,Inactive,167
35501,Scouting,18
35501,Assessing,6
35501,Recruiting,6
35501,Following,3
35501,Inactive,167
36001,Scouting,17
36001,Assessing,7
36001,Recruiting,6
36001,Following,4
36001,Inactive,166
36501,Scouting,17
36501,Assessing,7
36501,Recruiting,6
36501,Following,4
36501,Inactive,166
37001,Following,6
37001,Assessing,7
37001,Scouting,16
37001,Recruiting,6
37001,Inactive,165
37501,Following,6
37501,Assessing,7
37501,Scouting,16
37501,Recruiting,6
37501,Inactive,165
38001,Following,5
38001,Assessing,7
38001,Scouting,16
38001,Recruiting,6
38001,Inactive,166
38501,Following,5
38501,Assessing,7
38501,Scouting,16
38501,Recruiting,6
38501,Inactive,166
39001,Following,4
39001,Assessing,6
39001,Scouting,18
39001,Recruiting,6
39001,Inactive,166
39501,Following,3
39501,Assessing,6
39501,Scouting,18
39501,Recruiting,6
39501,Inactive,167
40001,Following,3
40001,Assessing,6
40001,Scouting,18
40001,Recruiting,6
40001,Inactive,167
40501,Following,3
40501,Assessing,7
40501,Scouting,17
40501,Recruiting,6
40501,Inactive,167
41001,Following,4
41001,Assessing,7
41001,Scouting,16
41001,Recruiting,6
41001,Inactive,167
41501,Following,4
41501,Assessing,7
41501,Scouting,16
41501,Recruiting,6
41501,Inactive,167
42001,Following,4
42001,Assessing,8
42001,Scouting,15
42001,Recruiting,6
42001,Inactive,167
42501,Following,5
42501,Assessing,8
42501,Scouting,15
42501,Recruiting,6
42501,Inactive,166
43001,Following,5
43001,Assessing,8
43001,Scouting,15
43001,Recruiting,6
43001,Inactive,166
43501,Following,4
43501,Assessing,8
43501,Scouting,15
43501,Recruiting,6
43501,Inactive,167
44001,Following,3
44001,Assessing,8
44001,Scouting,16
44001,Recruiting,6
44001,Inactive,167
