Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Inactive,188
1501,Scouting,12
2001,Scouting,38
2001,Inactive,162
2501,Scouting,47
2501,Inactive,153
3001,Scouting,47
3001,Inactive,153
3501,Scouting,47
3501,Inactive,153
4001,Scouting,47
4001,Inactive,153
4501,Scouting,47
4501,Inactive,153
5001,Scouting,47
5001,Inactive,153
5501,Scouting,47
5501,Inactive,153
6001,Scouting,47
6001,Inactive,153
6501,Scouting,47
6501,Inactive,153
7001,Scouting,47
7001,Inactive,153
7501,Scouting,47
7501,Inactive,153
8001,Scouting,47
8001,Inactive,153
8501,Scouting,47
8501,Inactive,153
9001,Scouting,47
9001,Inactive,153
9501,Scouting,47
9501,Inactive,153
10001,Scouting,47
10001,Inactive,153
10501,Scouting,47
10501,Inactive,153
11001,Scouting,47
11001,Inactive,153
11501,Scouting,47
11501,Inactive,153
12001,Scouting,47
12001,Inactive,153
12501,Scouting,47
12501,Inactive,153
13001,Scouting,47
13001,Inactive,153
13501,Scouting,47
13501,Inactive,153
14001,Scouting,47
14001,Inactive,153
14501,Scouting,47
14501,Inactive,153
15001,Scouting,47
15001,Inactive,153
15501,Scouting,47
15501,Inactive,153
16001,Scouting,47
16001,Inactive,153
16501,Scouting,47
16501,Inactive,153
17001,Scouting,47
17001,Inactive,153
17501,Scouting,47
17501,Inactive,153
18001,Scouting,47
18001,Inactive,153
18501,Scouting,47
18501,Inactive,153
19001,Scouting,47
19001,Inactive,153
19501,Scouting,47
19501,Inactive,153
20001,Scouting,47
20001,Inactive,153
20501,Scouting,47
20501,Inactive,153
21001,Scouting,47
21001,Inactive,153
21501,Scouting,47
21501,Inactive,153
22001,Scouting,47
22001,Inactive,153
22501,Scouting,47
22501,Inactive,153
23001,Scouting,47
23001,Inactive,153
23501,Scouting,47
23501,Inactive,153
24001,Scouting,47
24001,Inactive,153
24501,Scouting,47
24501,Inactive,153
25001,Assessing,1
25001,Scouting,46
25001,Inactive,153
25501,Assessing,1
25501,Scouting,46
25501,Inactive,153
26001,Assessing,1
26001,Scouting,46
26001,Inactive,153
26501,Assessing,1
26501,Scouting,46
26501,Inactive,153
27001,Assessing,1
27001,Scouting,46
27001,Inactive,153
27501,Assessing,1
27501,Scouting,46
27501,Inactive,153
28001,Assessing,1
28001,Scouting,46
28001,Inactive,153
28501,Assessing,1
28501,Scouting,46
28501,Inactive,153
29001,Assessing,3
29001,Scouting,44
29001,Inactive,153
29501,Assessing,4
29501,Scouting,43
29501,Inactive,153
30001,Assessing,4
30001,Scouting,43
30001,Inactive,153
30501,Assessing,4
30501,Scouting,43
30501,Inactive,153
31001,Assessing,4
31001,Scouting,43
31001,Inactive,153
31501,Assessing,4
31501,Scouting,43
31501,Inactive,153
32001,Assessing,4
32001,Scouting,43
32001,Inactive,153
32501,Assessing,5
32501,Scouting,42
32501,Inactive,153
33001,Assessing,5
33001,Scouting,42
33001,Inactive,153
33501,Assessing,6
33501,Scouting,41
33501,Inactive,153
34001,Assessing,6
34001,Scouting,41
34001,Inactive,153
34501,Assessing,6
34501,Scouting,41
34501,Inactive,153
35001,Assessing,6
35001,Scouting,41
35001,Inactive,153
35501,Assessing,6
35501,Scouting,41
35501,Inactive,153
36001,Assessing,6
36001,Scouting,41
36001,Inactive,153
36501,Assessing,6
36501,Scouting,41
36501,Inactive,153
37001,Assessing,6
37001,Scouting,41
37001,Inactive,153
37501,Assessing,6
37501,Scouting,41
37501,Inactive,153
38001,Assessing,7
38001,Scouting,40
38001,Inactive,153
38501,Assessing,8
38501,Scouting,39
38501,Inactive,153
39001,Assessing,10
39001,Scouting,37
39001,Inactive,153
39501,Assessing,10
39501,Scouting,37
39501,Inactive,153
40001,Assessing,10
40001,Scouting,37
40001,Inactive,153
40501,Assessing,10
40501,Scouting,37
40501,Inactive,153
41001,Assessing,10
41001,Scouting,37
41001,Inactive,153
41501,Assessing,10
41501,Scouting,37
41501,Inactive,153
42001,Assessing,10
42001,Scouting,37
42001,Inactive,153
42501,Assessing,10
42501,Scouting,37
42501,Inactive,153
43001,Assessing,10
43001,Scouting,37
43001,Inactive,153
43501,Assessing,10
43501,Scouting,37
43501,Inactive,153
44001,Assessing,10
44001,Scouting,37
44001,Inactive,153
44501,Assessing,10
44501,Scouting,37
44501,Inactive,153
45001,Assessing,10
45001,Scouting,37
45001,Inactive,153
45501,Assessing,10
45501,Scouting,37
45501,Inactive,153
46001,Assessing,10
46001,Scouting,37
46001,Inactive,153
46501,Assessing,10
46501,Scouting,37
46501,Inactive,153
47001,Recruiting,1
47001,Assessing,9
47001,Scouting,37
47001,Inactive,153
47501,Recruiting,1
47501,Assessing,9
47501,Scouting,37
47501,Inactive,153
48001,Recruiting,1
48001,Assessing,9
48001,Scouting,37
48001,Inactive,153
48501,Recruiting,1
48501,Assessing,10
48501,Scouting,36
48501,Inactive,153
49001,Recruiting,1
49001,Assessing,10
49001,Scouting,36
49001,Inactive,153
49501,Recruiting,1
49501,Assessing,10
49501,Scouting,36
49501,Inactive,153
50001,Recruiting,1
50001,Assessing,9
50001,Scouting,37
50001,Inactive,153
50501,Recruiting,2
50501,Scouting,37
50501,Assessing,8
50501,Inactive,153
51001,Recruiting,3
51001,Scouting,37
51001,Assessing,7
51001,Inactive,153
51501,Recruiting,3
51501,Scouting,37
51501,Assessing,7
51501,Inactive,153
52001,Recruiting,3
52001,Scouting,37
52001,Assessing,7
52001,Inactive,153
52501,Recruiting,3
52501,Scouting,37
52501,Assessing,7
52501,Inactive,153
53001,Recruiting,3
53001,Scouting,36
53001,Assessing,8
53001,Inactive,153
53501,Recruiting,3
53501,Scouting,35
53501,Assessing,8
53501,Following,1
53501,Inactive,153
54001,Recruiting,3
54001,Scouting,36
54001,Assessing,7
54001,Following,1
54001,Inactive,153
54501,Recruiting,3
54501,Scouting,36
54501,Assessing,7
54501,Following,1
54501,Inactive,153
55001,Recruiting,3
55001,Scouting,36
55001,Assessing,7
55001,Following,1
55001,Inactive,153
55501,Recruiting,3
55501,Scouting,36
55501,Assessing,7
55501,Following,1
55501,Inactive,153
56001,Recruiting,4
56001,Scouting,36
56001,Assessing,6
56001,Following,1
56001,Inactive,153
56501,Recruiting,4
56501,Scouting,36
56501,Assessing,6
56501,Following,1
56501,Inactive,153
57001,Recruiting,4
57001,Scouting,36
57001,Assessing,6
57001,Following,1
57001,Inactive,153
57501,Recruiting,4
57501,Scouting,36
57501,Assessing,6
57501,Following,1
57501,Inactive,153
58001,Recruiting,4
58001,Scouting,36
58001,Assessing,6
58001,Following,1
58001,Inactive,153
58501,Recruiting,4
58501,Scouting,36
58501,Assessing,6
58501,Following,1
58501,Inactive,153
59001,Recruiting,4
59001,Scouting,36
59001,Assessing,7
59001,Inactive,153
59501,Recruiting,4
59501,Scouting,36
59501,Assessing,7
59501,Inactive,153
60001,Recruiting,5
60001,Scouting,36
