Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Scouting,16
1501,Inactive,184
2001,Scouting,30
2001,Inactive,170
2501,Scouting,38
2501,Inactive,162
3001,Scouting,38
3001,Inactive,162
3501,Scouting,38
3501,Inactive,162
4001,Scouting,38
4001,Inactive,162
4501,Scouting,37
4501,Assessing,1
4501,Inactive,162
5001,Scouting,36
5001,Assessing,2
5001,Inactive,162
5501,Scouting,36
5501,Assessing,2
5501,Inactive,162
6001,Scouting,34
6001,Assessing,4
6001,Inactive,162
6501,Scouting,34
6501,Assessing,4
6501,Inactive,162
7001,Scouting,34
7001,Assessing,4
7001,Inactive,162
7501,Scouting,33
7501,Assessing,5
7501,Inactive,162
8001,Scouting,33
8001,Assessing,5
8001,Inactive,162
8501,Scouting,30
8501,Assessing,8
8501,Inactive,162
9001,Scouting,28
9001,Assessing,10
9001,Inactive,162
9501,Scouting,28
9501,Assessing,10
9501,Inactive,162
10001,Scouting,27
10001,Assessing,11
10001,Inactive,162
10501,Scouting,26
10501,Assessing,12
10501,Inactive,162
11001,Scouting,23
11001,Assessing,15
11001,Inactive,162
11501,Scouting,23
11501,Assessing,15
11501,Inactive,162
12001,Scouting,23
12001,Assessing,15
12001,Inactive,162
12501,Scouting,22
12501,Assessing,16
12501,Inactive,162
13001,Scouting,21
13001,Assessing,17
13001,Inactive,162
13501,Scouting,21
13501,Assessing,17
13501,Inactive,162
14001,Scouting,21
14001,Assessing,17
14001,Inactive,162
14501,Scouting,21
14501,Assessing,17
14501,Inactive,162
15001,Scouting,21
15001,Assessing,17
15001,Inactive,162
15501,Scouting,19
15501,Assessing,19
15501,Inactive,162
16001,Scouting,19
16001,Assessing,19
16001,Inactive,162
16501,Scouting,18
16501,Assessing,20
16501,Inactive,162
17001,Scouting,18
17001,Assessing,20
17001,Inactive,162
17501,Scouting,18
17501,Assessing,20
17501,Inactive,162
18001,Scouting,16
18001,Assessing,22
18001,Inactive,162
18501,Scouting,16
18501,Assessing,20
18501,Recruiting,2
18501,Inactive,162
19001,Scouting,15
19001,Assessing,20
19001,Recruiting,2
19001,Following,1
19001,Inactive,162
19501,Scouting,13
19501,Assessing,21
19501,Recruiting,2
19501,Following,2
19501,Inactive,162
20001,Scouting,13
20001,Assessing,21
20001,Recruiting,2
20001,Following,2
20001,Inactive,162
20501,Scouting,13
20501,Assessing,22
20501,Recruiting,2
20501,Following,1
20501,Inactive,162
21001,Scouting,13
21001,Assessing,22
21001,Recruiting,2
21001,Following,1
21001,Inactive,162
21501,Scouting,13
21501,Assessing,22
21501,Recruiting,2
21501,Following,1
21501,Inactive,162
22001,Scouting,13
22001,Assessing,21
22001,Recruiting,4
22001,Inactive,162
22501,Scouting,13
22501,Assessing,19
22501,Inactive,163
22501,Recruiting,4
22501,Reversing,1
23001,Scouting,13
23001,Assessing,17
23001,Recruiting,7
23001,Inactive,163
23501,Scouting,14
23501,Assessing,15
23501,Recruiting,8
23501,Inactive,163
24001,Scouting,15
24001,Assessing,14
24001,Recruiting,8
24001,Inactive,163
24501,Scouting,15
24501,Assessing,13
24501,Recruiting,8
24501,Inactive,162
24501,Following,2
25001,Scouting,16
25001,Assessing,12
25001,Recruiting,8
25001,Inactive,162
25001,Following,2
25501,Scouting,15
25501,Assessing,13
25501,Recruiting,8
25501,Inactive,161
25501,Following,3
26001,Scouting,15
26001,Assessing,13
26001,Recruiting,8
26001,Inactive,160
26001,Following,4
26501,Scouting,15
26501,Assessing,13
26501,Recruiting,5
26501,Inactive,161
26501,Reversing,3
26501,Following,3
27001,Assessing,13
27001,Scouting,14
27001,Recruiting,8
27001,Following,4
27001,Inactive,161
27501,Assessing,15
27501,Scouting,13
27501,Recruiting,8
27501,Following,3
27501,Inactive,161
28001,Assessing,16
28001,Scouting,13
28001,Recruiting,8
28001,Inactive,161
28001,Following,2
28501,Assessing,16
28501,Scouting,13
28501,Recruiting,8
28501,Inactive,161
28501,Following,2
29001,Assessing,16
29001,Scouting,12
29001,Recruiting,8
29001,Inactive,161
29001,Reversing,1
29001,Following,2
29501,Assessing,18
29501,Scouting,10
29501,Recruiting,8
29501,Inactive,161
29501,Reversing,1
29501,Following,2
30001,Assessing,18
30001,Scouting,11
30001,Recruiting,8
30001,Inactive,160
30001,Reversing,1
30001,Following,2
30501,Assessing,18
30501,Scouting,11
30501,Recruiting,8
30501,Inactive,160
30501,Reversing,1
30501,Following,2
31001,Assessing,17
31001,Scouting,11
31001,Recruiting,8
31001,Inactive,161
31001,Reversing,1
31001,Following,2
31501,Assessing,16
31501,Scouting,11
31501,Inactive,161
31501,Recruiting,5
31501,Reversing,4
31501,Following,3
32001,Assessing,16
32001,Inactive,161
32001,Scouting,11
32001,Recruiting,6
32001,Reversing,3
32001,Following,3
32501,Assessing,16
32501,Scouting,11
32501,Inactive,160
32501,Recruiting,8
32501,Reversing,2
32501,Following,3
33001,Assessing,18
33001,Scouting,10
33001,Inactive,160
33001,Recruiting,8
33001,Reversing,2
33001,Following,2
33501,Assessing,19
33501,Scouting,9
33501,Inactive,160
33501,Recruiting,8
33501,Reversing,2
33501,Following,2
34001,Assessing,19
34001,Scouting,8
34001,Inactive,160
34001,Recruiting,9
34001,Reversing,2
34001,Following,2
34501,Assessing,19
34501,Scouting,9
34501,Inactive,159
34501,Recruiting,9
34501,Reversing,2
34501,Following,2
35001,Assessing,19
35001,Scouting,9
35001,Inactive,158
35001,Recruiting,10
35001,Following,2
35001,Reversing,2
35501,Assessing,19
35501,Scouting,9
35501,Inactive,156
35501,Recruiting,9
35501,Following,4
35501,Reversing,3
36001,Assessing,18
36001,Scouting,10
36001,Inactive,156
36001,Recruiting,8
36001,Following,4
36001,Reversing,4
36501,Assessing,17
36501,Scouting,10
36501,Inactive,155
36501,Recruiting,11
36501,Following,4
36501,Reversing,3
37001,Assessing,17
37001,Scouting,10
37001,Inactive,155
37001,Recruiting,11
37001,Following,4
37001,Reversing,3
37501,Assessing,17
37501,Scouting,10
37501,Inactive,155
37501,Recruiting,10
37501,Following,4
37501,Reversing,4
38001,Assessing,19
38001,Scouting,8
38001,Inactive,155
38001,Recruiting,11
38001,Following,4
38001,Reversing,3
38501,Assessing,19
38501,Scouting,8
38501,Inactive,155
38501,Recruiting,10
38501,Following,4
38501,Reversing,4
39001,Assessing,17
39001,Scouting,10
39001,Inactive,155
39001,Recruiting,12
39001,Following,3
39001,Reversing,3
39501,Assessing,16
39501,Scouting,10
39501,Following,2
39501,Recruiting,16
39501,Reversing,2
39501,Inactive,154
40001,Scouting,10
40001,Assessing,15
40001,Following,2
40001,Recruiting,16
40001,Inactive,155
40001,Reversing,2
40501,Scouting,10
40501,Assessing,15
40501,Following,1
40501,Recruiting,18
40501,Inactive,155
40501,Reversing,1
41001,Assessing,16
41001,Scouting,9
41001,Following,1
41001,Recruiting,18
41001,Inactive,155
