Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Inactive,188
1501,Scouting,12
2001,Scouting,26
2001,Inactive,174
2501,Scouting,34
2501,Inactive,166
3001,Scouting,34
3001,Inactive,166
3501,Scouting,34
3501,Inactive,166
4001,Scouting,34
4001,Inactive,166
4501,Scouting,34
4501,Inactive,166
5001,Scouting,34
5001,Inactive,166
5501,Scouting,34
5501,Inactive,166
6001,Scouting,34
6001,Inactive,166
6501,Scouting,34
6501,Inactive,166
7001,Scouting,34
7001,Inactive,166
7501,Scouting,34
7501,Inactive,166
8001,Scouting,34
8001,Inactive,166
8501,Scouting,34
8501,Inactive,166
9001,Scouting,34
9001,Inactive,166
9501,Scouting,33
9501,Assessing,1
9501,Inactive,166
10001,Scouting,32
10001,Assessing,2
10001,Inactive,166
10501,Scouting,31
10501,Assessing,3
10501,Inactive,166
11001,Scouting,31
11001,Assessing,3
11001,Inactive,166
11501,Scouting,31
11501,Assessing,3
11501,Inactive,166
12001,Scouting,31
12001,Assessing,3
12001,Inactive,166
12501,Scouting,31
12501,Assessing,3
12501,Inactive,166
13001,Scouting,31
13001,Assessing,3
13001,Inactive,166
13501,Scouting,31
13501,Assessing,3
13501,Inactive,166
14001,Scouting,31
14001,Assessing,3
14001,Inactive,166
14501,Scouting,31
14501,Assessing,3
14501,Inactive,166
15001,Scouting,31
15001,Assessing,3
15001,Inactive,166
15501,Scouting,31
15501,Assessing,3
15501,Inactive,166
16001,Scouting,31
16001,Assessing,3
16001,Inactive,166
16501,Scouting,31
16501,Assessing,3
16501,Inactive,166
17001,Scouting,31
17001,Assessing,3
17001,Inactive,166
17501,Scouting,31
17501,Assessing,3
17501,Inactive,166
18001,Scouting,31
18001,Assessing,3
18001,Inactive,166
18501,Scouting,30
18501,Assessing,4
18501,Inactive,166
19001,Scouting,30
19001,Assessing,4
19001,Inactive,166
19501,Scouting,30
19501,Assessing,4
19501,Inactive,166
20001,Scouting,30
20001,Assessing,4
20001,Inactive,166
20501,Scouting,30
20501,Assessing,4
20501,Inactive,166
21001,Scouting,30
21001,Assessing,4
21001,Inactive,166
21501,Assessing,5
21501,Scouting,29
21501,Inactive,166
22001,Assessing,5
22001,Scouting,29
22001,Inactive,166
22501,Assessing,6
22501,Scouting,28
22501,Inactive,166
23001,Assessing,6
23001,Scouting,28
23001,Inactive,166
23501,Assessing,6
23501,Scouting,28
23501,Inactive,166
24001,Assessing,6
24001,Scouting,28
24001,Inactive,166
24501,Assessing,6
24501,Scouting,28
24501,Inactive,166
25001,Assessing,6
25001,Scouting,28
25001,Inactive,166
25501,Assessing,6
25501,Scouting,28
25501,Inactive,166
26001,Assessing,6
26001,Scouting,28
26001,Inactive,166
26501,Assessing,6
26501,Scouting,27
26501,Recruiting,1
26501,Inactive,166
27001,Assessing,6
27001,Scouting,26
27001,Recruiting,2
27001,Inactive,166
27501,Assessing,6
27501,Scouting,26
27501,Recruiting,2
27501,Inactive,166
28001,Assessing,6
28001,Scouting,26
28001,Recruiting,2
28001,Inactive,166
28501,Assessing,6
28501,Scouting,26
28501,Recruiting,2
28501,Inactive,166
29001,Assessing,6
29001,Scouting,25
29001,Recruiting,2
29001,Following,1
29001,Inactive,166
29501,Assessing,6
29501,Scouting,25
29501,Recruiting,2
29501,Following,1
29501,Inactive,166
30001,Assessing,5
30001,Scouting,26
30001,Recruiting,2
30001,Following,1
30001,Inactive,166
30501,Assessing,5
30501,Scouting,26
30501,Recruiting,2
30501,Following,1
30501,Inactive,166
31001,Assessing,5
31001,Scouting,26
31001,Recruiting,2
31001,Following,2
31001,Inactive,165
31501,Assessing,5
31501,Scouting,26
31501,Recruiting,2
31501,Following,2
31501,Inactive,165
32001,Assessing,5
32001,Scouting,26
32001,Recruiting,2
32001,Following,2
32001,Inactive,165
32501,Assessing,5
32501,Scouting,26
32501,Recruiting,2
32501,Following,2
32501,Inactive,165
33001,Assessing,5
33001,Scouting,26
33001,Recruiting,2
33001,Following,2
33001,Inactive,165
33501,Assessing,6
33501,Scouting,25
33501,Recruiting,2
33501,Following,2
33501,Inactive,165
34001,Assessing,6
34001,Scouting,25
34001,Recruiting,2
34001,Following,2
34001,Inactive,165
34501,Assessing,7
34501,Scouting,25
34501,Recruiting,2
34501,Inactive,165
34501,Following,1
35001,Assessing,7
35001,Scouting,25
35001,Recruiting,2
35001,Inactive,165
35001,Following,1
35501,Assessing,7
35501,Scouting,25
35501,Recruiting,2
35501,Inactive,165
35501,Following,1
36001,Assessing,7
36001,Scouting,25
36001,Recruiting,2
36001,Inactive,165
36001,Following,1
36501,Assessing,7
36501,Scouting,25
36501,Recruiting,2
36501,Inactive,165
36501,Following,1
37001,Assessing,7
37001,Scouting,25
37001,Recruiting,2
37001,Inactive,165
37001,Following,1
37501,Assessing,6
37501,Scouting,25
37501,Recruiting,3
37501,Inactive,165
37501,Following,1
38001,Scouting,25
38001,Assessing,6
38001,Recruiting,3
38001,Inactive,165
38001,Following,1
38501,Scouting,25
38501,Assessing,6
38501,Recruiting,3
38501,Inactive,165
38501,Following,1
39001,Scouting,25
39001,Assessing,5
39001,Recruiting,3
39001,Following,2
39001,Inactive,165
39501,Scouting,25
39501,Assessing,6
39501,Recruiting,3
39501,Following,1
39501,Inactive,165
40001,Scouting,24
40001,Assessing,7
40001,Recruiting,3
40001,Following,1
40001,Inactive,165
40501,Scouting,24
40501,Assessing,7
40501,Recruiting,3
40501,Following,1
40501,Inactive,165
41001,Scouting,24
41001,Assessing,7
41001,Recruiting,3
41001,Following,1
41001,Inactive,165
41501,Scouting,24
41501,Assessing,7
41501,Recruiting,3
41501,Following,1
41501,Inactive,165
42001,Scouting,24
42001,Assessing,7
42001,Recruiting,3
42001,Following,2
42001,Inactive,164
42501,Scouting,24
42501,Assessing,7
42501,Recruiting,3
42501,Following,2
42501,Inactive,164
43001,Scouting,24
43001,Recruiting,4
43001,Assessing,6
43001,Following,2
43001,Inactive,164
43501,Scouting,24
43501,Recruiting,4
43501,Assessing,6
43501,Following,2
43501,Inactive,164
44001,Scouting,24
44001,Recruiting,4
44001,Assessing,6
44001,Following,2
44001,Inactive,164
44501,Scouting,24
44501,Recruiting,5
44501,Assessing,5
44501,Following,3
44501,Inactive,163
45001,Scouting,24
45001,Recruiting,5
45001,Assessing,5
45001,Following,3
45001,Inactive,163
45501,Scouting,24
45501,Recruiting,5
45501,Assessing,5
45501,Following,3
45501,Inactive,163
46001,Scouting,24
46001,Recruiting,5
46001,Assessing,5
46001,Following,3
46001,Inactive,163
46501,Scouting,24
46501,Recruiting,5
46501,Assessing,5
46501,Following,3
46501,Inactive,163
47001,Scouting,24
47001,Recruiting,5
47001,Assessing,5
47001,Following,4
47001,Inactive,162
47501,Scouting,24
47501,Recruiting,5
47501,Assessing,6
47501,Inactive,163
47501,Following,2
48001,Scouting,24
48001,Recruiting,5
