Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Inactive,191
1501,Scouting,9
2001,Scouting,22
2001,Inactive,178
2501,Scouting,30
2501,Inactive,170
3001,Scouting,30
3001,Inactive,170
3501,Scouting,30
3501,Inactive,170
4001,Scouting,29
4001,Assessing,1
4001,Inactive,170
4501,Scouting,29
4501,Assessing,1
4501,Inactive,170
5001,Scouting,29
5001,Assessing,1
5001,Inactive,170
5501,Scouting,29
5501,Assessing,1
5501,Inactive,170
6001,Scouting,29
6001,Assessing,1
6001,Inactive,170
6501,Scouting,27
6501,Assessing,3
6501,Inactive,170
7001,Scouting,26
7001,Assessing,4
7001,Inactive,170
7501,Scouting,26
7501,Assessing,4
7501,Inactive,170
8001,Scouting,25
8001,Assessing,5
8001,Inactive,170
8501,Scouting,25
8501,Assessing,5
8501,Inactive,170
9001,Scouting,25
9001,Assessing,5
9001,Inactive,170
9501,Scouting,25
9501,Assessing,5
9501,Inactive,170
10001,Scouting,25
10001,Assessing,5
10001,Inactive,170
10501,Scouting,25
10501,Assessing,5
10501,Inactive,170
11001,Scouting,25
11001,Assessing,5
11001,Inactive,170
11501,Scouting,25
11501,Assessing,5
11501,Inactive,170
12001,Scouting,25
12001,Assessing,5
12001,Inactive,170
12501,Scouting,24
12501,Assessing,6
12501,Inactive,170
13001,Scouting,24
13001,Assessing,6
13001,Inactive,170
13501,Scouting,24
13501,Assessing,6
13501,Inactive,170
14001,Scouting,24
14001,Assessing,6
14001,Inactive,170
14501,Scouting,24
14501,Assessing,6
14501,Inactive,170
15001,Scouting,24
15001,Assessing,6
15001,Inactive,170
15501,Scouting,24
15501,Assessing,6
15501,Inactive,170
16001,Scouting,24
16001,Assessing,6
16001,Inactive,170
16501,Scouting,24
16501,Assessing,6
16501,Inactive,170
17001,Scouting,24
17001,Assessing,6
17001,Inactive,170
17501,Scouting,24
17501,Assessing,6
17501,Inactive,170
18001,Scouting,24
18001,Assessing,6
18001,Inactive,170
18501,Scouting,24
18501,Assessing,6
18501,Inactive,170
19001,Scouting,24
19001,Assessing,6
19001,Inactive,170
19501,Scouting,24
19501,Assessing,6
19501,Inactive,170
20001,Scouting,24
20001,Assessing,6
20001,Inactive,170
20501,Scouting,24
20501,Assessing,6
20501,Inactive,170
21001,Scouting,25
21001,Assessing,4
21001,Recruiting,1
21001,Inactive,170
21501,Scouting,25
21501,Assessing,4
21501,Recruiting,1
21501,Inactive,170
22001,Scouting,25
22001,Assessing,4
22001,Recruiting,1
22001,Inactive,170
22501,Scouting,25
22501,Assessing,4
22501,Recruiting,1
22501,Inactive,170
23001,Scouting,25
23001,Assessing,3
23001,Recruiting,2
23001,Inactive,170
23501,Scouting,25
23501,Assessing,3
23501,Recruiting,2
23501,Following,1
23501,Inactive,169
24001,Scouting,26
24001,Assessing,2
24001,Recruiting,2
24001,Following,1
24001,Inactive,169
24501,Scouting,26
24501,Assessing,2
24501,Recruiting,2
24501,Following,1
24501,Inactive,169
25001,Scouting,26
25001,Assessing,2
25001,Recruiting,2
25001,Following,1
25001,Inactive,169
25501,Scouting,26
25501,Assessing,2
25501,Recruiting,2
25501,Following,2
25501,Inactive,168
26001,Scouting,26
26001,Assessing,1
26001,Recruiting,3
26001,Following,2
26001,Inactive,168
26501,Scouting,26
26501,Assessing,1
26501,Recruiting,3
26501,Following,2
26501,Inactive,168
27001,Scouting,27
27001,Recruiting,3
27001,Following,2
27001,Inactive,168
27501,Scouting,27
27501,Recruiting,3
27501,Following,2
27501,Inactive,168
28001,Scouting,26
28001,Following,2
28001,Recruiting,3
28001,Assessing,1
28001,Inactive,168
28501,Scouting,26
28501,Following,3
28501,Recruiting,3
28501,Assessing,1
28501,Inactive,167
29001,Scouting,26
29001,Following,3
29001,Recruiting,3
29001,Assessing,1
29001,Inactive,167
29501,Scouting,27
29501,Recruiting,3
29501,Assessing,1
29501,Inactive,167
29501,Following,2
30001,Scouting,27
30001,Recruiting,3
30001,Assessing,2
30001,Inactive,167
30001,Following,1
30501,Scouting,27
30501,Recruiting,3
30501,Assessing,2
30501,Inactive,167
30501,Following,1
31001,Scouting,27
31001,Recruiting,3
31001,Assessing,2
31001,Inactive,167
31001,Following,1
31501,Scouting,26
31501,Assessing,3
31501,Recruiting,3
31501,Inactive,166
31501,Following,2
32001,Scouting,26
32001,Assessing,3
32001,Recruiting,3
32001,Inactive,166
32001,Following,2
32501,Scouting,26
32501,Assessing,3
32501,Recruiting,3
32501,Inactive,166
32501,Following,2
33001,Scouting,25
33001,Assessing,4
33001,Recruiting,3
33001,Inactive,166
33001,Following,2
33501,Scouting,25
33501,Assessing,5
33501,Recruiting,3
33501,Inactive,165
33501,Following,2
34001,Scouting,25
34001,Assessing,5
34001,Recruiting,3
34001,Inactive,165
34001,Following,2
34501,Scouting,25
34501,Assessing,5
34501,Recruiting,3
34501,Inactive,165
34501,Following,2
35001,Scouting,25
35001,Assessing,5
35001,Recruiting,3
35001,Inactive,165
35001,Following,2
35501,Scouting,25
35501,Assessing,6
35501,Recruiting,3
35501,Inactive,165
35501,Following,1
36001,Scouting,25
36001,Assessing,6
36001,Recruiting,3
36001,Inactive,165
36001,Following,1
36501,Scouting,25
36501,Assessing,6
36501,Recruiting,3
36501,Inactive,164
36501,Following,2
37001,Scouting,25
37001,Assessing,6
37001,Recruiting,3
37001,Inactive,164
37001,Following,2
37501,Scouting,25
37501,Assessing,6
37501,Recruiting,3
37501,Inactive,164
37501,Following,2
38001,Scouting,25
38001,Assessing,6
38001,Recruiting,3
38001,Inactive,164
38001,Following,2
38501,Scouting,25
38501,Assessing,7
38501,Recruiting,3
38501,Inactive,164
38501,Following,1
39001,Scouting,25
39001,Assessing,7
39001,Recruiting,3
39001,Inactive,163
39001,Following,2
39501,Scouting,25
39501,Assessing,7
39501,Recruiting,3
39501,Inactive,163
39501,Following,2
40001,Scouting,25
40001,Assessing,7
40001,Recruiting,3
40001,Inactive,163
40001,Following,2
40501,Scouting,24
40501,Assessing,8
40501,Recruiting,3
40501,Inactive,163
40501,Following,2
41001,Scouting,24
41001,Assessing,9
41001,Recruiting,3
41001,Inactive,163
41001,Following,1
41501,Scouting,24
41501,Assessing,9
41501,Recruiting,3
41501,Inactive,162
41501,Following,2
42001,Scouting,24
42001,Assessing,9
42001,Recruiting,3
42001,Inactive,162
42001,Following,2
42501,Scouting,24
42501,Assessing,9
42501,Recruiting,3
42501,Inactive,162
42501,Following,2
43001,Scouting,24
43001,Assessing,10
43001,Recruiting,3
43001,Inactive,162
43001,Following,1
43501,Scouting,24
43501,Assessing,10
43501,Recruiting,3
43501,Inactive,162
43501,Following,1
44001,Scouting,24
44001,Assessing,10
44001,Recruiting,3
44001,Inactive,162
44001,Following,1
44501,Scouting,24
44501,Assessing,10
44501,Recruiting,3
44501,Inactive,162
44501,Following,1
45001,Scouting,24
45001,Assessing,10
