Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Scouting,17
1501,Inactive,183
2001,Scouting,42
2001,Inactive,158
2501,Scouting,50
2501,Inactive,150
3001,Scouting,50
3001,Inactive,150
3501,Scouting,50
3501,Inactive,150
4001,Scouting,50
4001,Inactive,150
4501,Scouting,50
4501,Inactive,150
5001,Scouting,50
5001,Inactive,150
5501,Scouting,50
5501,Inactive,150
6001,Scouting,50
6001,Inactive,150
6501,Scouting,50
6501,Inactive,150
7001,Scouting,50
7001,Inactive,150
7501,Scouting,50
7501,Inactive,150
8001,Scouting,50
8001,Inactive,150
8501,Scouting,50
8501,Inactive,150
9001,Scouting,50
9001,Inactive,150
9501,Scouting,50
9501,Inactive,150
10001,Scouting,50
10001,Inactive,150
10501,Scouting,50
10501,Inactive,150
11001,Scouting,50
11001,Inactive,150
11501,Scouting,50
11501,Inactive,150
12001,Scouting,49
12001,Assessing,1
12001,Inactive,150
12501,Scouting,49
12501,Assessing,1
12501,Inactive,150
13001,Scouting,49
13001,Assessing,1
13001,Inactive,150
13501,Scouting,49
13501,Assessing,1
13501,Inactive,150
14001,Scouting,49
14001,Assessing,1
14001,Inactive,150
14501,Scouting,49
14501,Assessing,1
14501,Inactive,150
15001,Scouting,49
15001,Assessing,1
15001,Inactive,150
15501,Scouting,49
15501,Assessing,1
15501,Inactive,150
16001,Scouting,49
16001,Assessing,1
16001,Inactive,150
16501,Scouting,49
16501,Assessing,1
16501,Inactive,150
17001,Scouting,49
17001,Assessing,1
17001,Inactive,150
17501,Scouting,49
17501,Assessing,1
17501,Inactive,150
18001,Scouting,49
18001,Assessing,1
18001,Inactive,150
18501,Scouting,49
18501,Assessing,1
18501,Inactive,150
19001,Scouting,49
19001,Assessing,1
19001,Inactive,150
19501,Scouting,49
19501,Assessing,1
19501,Inactive,150
20001,Scouting,49
20001,Assessing,1
20001,Inactive,150
20501,Scouting,49
20501,Assessing,1
20501,Inactive,150
21001,Scouting,49
21001,Assessing,1
21001,Inactive,150
21501,Scouting,47
21501,Assessing,3
21501,Inactive,150
22001,Scouting,47
22001,Assessing,3
22001,Inactive,150
22501,Scouting,47
22501,Assessing,3
22501,Inactive,150
23001,Scouting,46
23001,Assessing,4
23001,Inactive,150
23501,Scouting,46
23501,Assessing,4
23501,Inactive,150
24001,Scouting,46
24001,Assessing,4
24001,Inactive,150
24501,Scouting,46
24501,Assessing,4
24501,Inactive,150
25001,Scouting,46
25001,Assessing,4
25001,Inactive,150
25501,Scouting,46
25501,Assessing,4
25501,Inactive,150
26001,Scouting,46
26001,Assessing,4
26001,Inactive,150
26501,Scouting,46
26501,Assessing,4
26501,Inactive,150
27001,Scouting,46
27001,Assessing,4
27001,Inactive,150
27501,Scouting,46
27501,Assessing,4
27501,Inactive,150
28001,Scouting,46
28001,Assessing,4
28001,Inactive,150
28501,Scouting,45
28501,Assessing,5
28501,Inactive,150
29001,Scouting,45
29001,Assessing,5
29001,Inactive,150
29501,Scouting,45
29501,Assessing,5
29501,Inactive,150
30001,Scouting,45
30001,Assessing,5
30001,Inactive,150
30501,Scouting,45
30501,Assessing,5
30501,Inactive,150
31001,Scouting,45
31001,Assessing,5
31001,Inactive,150
31501,Scouting,45
31501,Assessing,4
31501,Recruiting,1
31501,Inactive,150
32001,Scouting,45
32001,Assessing,4
32001,Recruiting,1
32001,Inactive,150
32501,Scouting,45
32501,Assessing,4
32501,Recruiting,1
32501,Inactive,150
33001,Scouting,45
33001,Assessing,4
33001,Recruiting,1
33001,Inactive,150
33501,Scouting,43
33501,Assessing,6
33501,Recruiting,1
33501,Inactive,150
34001,Scouting,43
34001,Assessing,6
34001,Recruiting,1
34001,Inactive,150
34501,Scouting,42
34501,Assessing,7
34501,Recruiting,1
34501,Inactive,150
35001,Scouting,42
35001,Assessing,7
35001,Recruiting,1
35001,Inactive,150
35501,Scouting,42
35501,Assessing,7
35501,Recruiting,1
35501,Inactive,150
36001,Scouting,42
36001,Assessing,7
36001,Recruiting,1
36001,Inactive,150
36501,Scouting,42
36501,Assessing,7
36501,Recruiting,1
36501,Inactive,150
37001,Scouting,42
37001,Assessing,7
37001,Recruiting,1
37001,Inactive,150
37501,Scouting,42
37501,Assessing,7
37501,Recruiting,1
37501,Inactive,150
38001,Scouting,42
38001,Assessing,7
38001,Recruiting,1
38001,Inactive,150
38501,Scouting,42
38501,Assessing,7
38501,Recruiting,1
38501,Inactive,150
39001,Scouting,42
39001,Assessing,7
39001,Recruiting,1
39001,Inactive,150
39501,Scouting,40
39501,Assessing,8
39501,Inactive,151
39501,Reversing,1
40001,Scouting,41
40001,Assessing,7
40001,Inactive,151
40001,Recruiting,1
40501,Scouting,41
40501,Assessing,7
40501,Inactive,151
40501,Recruiting,1
41001,Scouting,41
41001,Assessing,7
41001,Inactive,151
41001,Recruiting,1
41501,Scouting,42
41501,Assessing,7
41501,Recruiting,1
41501,Inactive,150
42001,Scouting,41
42001,Assessing,8
42001,Recruiting,1
42001,Inactive,150
42501,Scouting,41
42501,Assessing,8
42501,Recruiting,1
42501,Inactive,150
43001,Scouting,42
43001,Assessing,7
43001,Recruiting,1
43001,Inactive,150
43501,Scouting,42
43501,Assessing,7
43501,Recruiting,1
43501,Inactive,150
44001,Scouting,41
44001,Assessing,7
44001,Reversing,1
44001,Inactive,151
44501,Scouting,41
44501,Assessing,7
44501,Recruiting,1
44501,Inactive,151
45001,Scouting,40
45001,Assessing,8
45001,Recruiting,1
45001,Inactive,151
45501,Scouting,39
45501,Assessing,9
45501,Recruiting,1
45501,Inactive,151
46001,Scouting,39
46001,Assessing,10
46001,Recruiting,1
46001,Inactive,150
46501,Scouting,39
46501,Assessing,10
46501,Recruiting,1
46501,Inactive,150
47001,Scouting,38
47001,Assessing,10
47001,Recruiting,2
47001,Inactive,150
47501,Scouting,38
47501,Assessing,10
47501,Recruiting,2
47501,Inactive,150
48001,Scouting,38
48001,Assessing,10
48001,Recruiting,2
48001,Inactive,150
48501,Scouting,38
48501,Assessing,10
48501,Recruiting,2
48501,Inactive,150
49001,Scouting,36
49001,Assessing,11
49001,Recruiting,2
49001,Inactive,151
49501,Scouting,35
49501,Assessing,12
49501,Recruiting,2
49501,Inactive,151
50001,Scouting,35
50001,Assessing,12
50001,Recruiting,2
50001,Inactive,151
50501,Scouting,34
50501,Assessing,13
50501,Recruiting,2
50501,Inactive,151
51001,Scouting,34
51001,Assessing,13
51001,Recruiting,2
51001,Inactive,151
51501,Scouting,34
51501,Assessing,13
51501,Recruiting,2
51501,Inactive,151
52001,Scouting,34
52001,Assessing,13
52001,Recruiting,2
52001,Inactive,151
52501,Scouting,33
52501,Assessing,13
52501,Recruiting,3
52501,Inactive,151
53001,Scouting,32
53001,Inactive,152
53001,Assessing,12
53001,Recruiting,4
53501,Scouting,32
53501,Inactive,152
53501,Assessing,12
53501,Recruiting,4
