Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Inactive,185
1501,Scouting,15
2001,Scouting,36
2001,Inactive,164
2501,Scouting,48
2501,Inactive,152
3001,Scouting,48
3001,Inactive,152
3501,Scouting,48
3501,Inactive,152
4001,Scouting,48
4001,Inactive,152
4501,Scouting,48
4501,Inactive,152
5001,Scouting,47
5001,Assessing,1
5001,Inactive,152
5501,Scouting,47
5501,Assessing,1
5501,Inactive,152
6001,Scouting,45
6001,Assessing,3
6001,Inactive,152
6501,Scouting,44
6501,Assessing,4
6501,Inactive,152
7001,Scouting,44
7001,Assessing,4
7001,Inactive,152
7501,Scouting,42
7501,Assessing,6
7501,Inactive,152
8001,Scouting,41
8001,Assessing,7
8001,Inactive,152
8501,Scouting,39
8501,Assessing,9
8501,Inactive,152
9001,Scouting,39
9001,Assessing,9
9001,Inactive,152
9501,Scouting,39
9501,Assessing,9
9501,Inactive,152
10001,Scouting,39
10001,Assessing,9
10001,Inactive,152
10501,Scouting,39
10501,Assessing,9
10501,Inactive,152
11001,Scouting,38
11001,Assessing,10
11001,Inactive,152
11501,Scouting,38
11501,Assessing,10
11501,Inactive,152
12001,Scouting,37
12001,Assessing,11
12001,Inactive,152
12501,Scouting,36
12501,Assessing,12
12501,Inactive,152
13001,Scouting,34
13001,Assessing,14
13001,Inactive,152
13501,Scouting,34
13501,Assessing,14
13501,Inactive,152
14001,Scouting,34
14001,Assessing,14
14001,Inactive,152
14501,Scouting,34
14501,Assessing,14
14501,Inactive,152
15001,Scouting,34
15001,Assessing,14
15001,Inactive,152
15501,Scouting,34
15501,Assessing,14
15501,Inactive,152
16001,Scouting,34
16001,Assessing,14
16001,Inactive,152
16501,Scouting,34
16501,Assessing,14
16501,Inactive,152
17001,Scouting,33
17001,Assessing,15
17001,Inactive,152
17501,Scouting,33
17501,Assessing,15
17501,Inactive,152
18001,Scouting,33
18001,Assessing,15
18001,Inactive,152
18501,Scouting,33
18501,Assessing,15
18501,Inactive,152
19001,Scouting,33
19001,Assessing,15
19001,Inactive,152
19501,Scouting,34
19501,Assessing,14
19501,Inactive,152
20001,Scouting,34
20001,Assessing,14
20001,Inactive,152
20501,Scouting,33
20501,Assessing,15
20501,Inactive,152
21001,Scouting,33
21001,Assessing,15
21001,Inactive,152
21501,Scouting,33
21501,Assessing,15
21501,Inactive,152
22001,Scouting,32
22001,Assessing,16
22001,Inactive,152
22501,Scouting,32
22501,Assessing,16
22501,Inactive,152
23001,Scouting,33
23001,Assessing,13
23001,Recruiting,2
23001,Inactive,152
23501,Scouting,33
23501,Assessing,13
23501,Recruiting,2
23501,Inactive,152
24001,Scouting,33
24001,Assessing,13
24001,Recruiting,2
24001,Inactive,152
24501,Scouting,33
24501,Assessing,13
24501,Recruiting,2
24501,Inactive,152
25001,Scouting,32
25001,Assessing,14
25001,Recruiting,2
25001,Inactive,152
25501,Scouting,31
25501,Assessing,15
25501,Recruiting,2
25501,Inactive,152
26001,Scouting,30
26001,Assessing,14
26001,Recruiting,4
26001,Inactive,152
26501,Scouting,30
26501,Assessing,14
26501,Recruiting,4
26501,Inactive,152
27001,Scouting,30
27001,Assessing,14
27001,Recruiting,4
27001,Inactive,152
27501,Scouting,30
27501,Assessing,13
27501,Recruiting,5
27501,Inactive,152
28001,Scouting,30
28001,Assessing,13
28001,Recruiting,5
28001,Inactive,152
28501,Scouting,30
28501,Assessing,13
28501,Recruiting,3
28501,Reversing,2
28501,Inactive,152
29001,Scouting,30
29001,Assessing,13
29001,Recruiting,5
29001,Inactive,152
29501,Scouting,30
29501,Assessing,13
29501,Recruiting,5
29501,Inactive,152
30001,Scouting,30
30001,Assessing,13
30001,Recruiting,5
30001,Inactive,152
30501,Scouting,29
30501,Assessing,14
30501,Recruiting,5
30501,Inactive,152
31001,Scouting,30
31001,Assessing,13
31001,Recruiting,4
31001,Reversing,1
31001,Inactive,152
31501,Scouting,31
31501,Assessing,12
31501,Recruiting,5
31501,Inactive,152
32001,Scouting,30
32001,Assessing,12
32001,Recruiting,4
32001,Inactive,153
32001,Reversing,1
32501,Scouting,30
32501,Assessing,12
32501,Recruiting,4
32501,Inactive,153
32501,Reversing,1
33001,Scouting,31
33001,Assessing,11
33001,Recruiting,5
33001,Inactive,153
33501,Scouting,31
33501,Assessing,11
33501,Recruiting,5
33501,Inactive,153
34001,Scouting,29
34001,Assessing,12
34001,Inactive,154
34001,Recruiting,5
34501,Scouting,29
34501,Assessing,12
34501,Inactive,154
34501,Recruiting,4
34501,Reversing,1
35001,Scouting,27
35001,Assessing,13
35001,Inactive,155
35001,Reversing,1
35001,Recruiting,4
35501,Scouting,26
35501,Assessing,14
35501,Inactive,155
35501,Recruiting,5
36001,Scouting,25
36001,Assessing,13
36001,Following,1
36001,Inactive,155
36001,Recruiting,5
36001,Reversing,1
36501,Scouting,24
36501,Recruiting,5
36501,Following,1
36501,Assessing,11
36501,Inactive,156
36501,Reversing,3
37001,Scouting,24
37001,Recruiting,6
37001,Following,2
37001,Assessing,11
37001,Inactive,155
37001,Reversing,2
37501,Scouting,24
37501,Recruiting,6
37501,Following,2
37501,Assessing,11
37501,Inactive,155
37501,Reversing,2
38001,Scouting,25
38001,Recruiting,7
38001,Following,2
38001,Assessing,9
38001,Inactive,155
38001,Reversing,2
38501,Scouting,25
38501,Recruiting,7
38501,Following,2
38501,Assessing,9
38501,Inactive,155
38501,Reversing,2
39001,Scouting,23
39001,Recruiting,5
39001,Following,3
39001,Assessing,9
39001,Inactive,156
39001,Reversing,4
39501,Scouting,23
39501,Recruiting,6
39501,Following,3
39501,Assessing,9
39501,Inactive,156
39501,Reversing,3
40001,Scouting,23
40001,Recruiting,6
40001,Following,3
40001,Assessing,9
40001,Inactive,156
40001,Reversing,3
40501,Scouting,24
40501,Recruiting,8
40501,Assessing,8
40501,Inactive,155
40501,Reversing,3
40501,Following,2
41001,Scouting,24
41001,Recruiting,8
41001,Assessing,8
41001,Inactive,155
41001,Reversing,3
41001,Following,2
41501,Scouting,25
41501,Recruiting,8
41501,Assessing,8
41501,Inactive,155
41501,Reversing,3
41501,Following,1
42001,Scouting,25
42001,Recruiting,7
42001,Inactive,156
42001,Reversing,4
42001,Assessing,7
42001,Following,1
42501,Scouting,25
42501,Recruiting,9
42501,Inactive,156
42501,Assessing,6
42501,Reversing,3
42501,Following,1
43001,Scouting,25
43001,Recruiting,9
43001,Inactive,156
43001,Assessing,6
43001,Reversing,3
43001,Following,1
43501,Scouting,25
43501,Recruiting,10
43501,Inactive,156
43501,Assessing,6
43501,Reversing,2
43501,Following,1
44001,Scouting,25
44001,Recruiting,10
44001,Inactive,155
44001,Following,2
44001,Assessing,5
44001,Reversing,3
44501,Scouting,26
44501,Recruiting,9
44501,Reversing,4
44501,Inactive,154
44501,Following,1
44501,Assessing,6
45001,Scouting,26
45001,Recruiting,10
