Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Inactive,192
1501,Scouting,8
2001,Inactive,173
2001,Scouting,27
2501,Scouting,32
2501,Inactive,168
3001,Scouting,32
3001,Inactive,168
3501,Scouting,32
3501,Inactive,168
4001,Scouting,32
4001,Inactive,168
4501,Scouting,32
4501,Inactive,168
5001,Scouting,32
5001,Inactive,168
5501,Scouting,32
5501,Inactive,168
6001,Scouting,31
6001,Assessing,1
6001,Inactive,168
6501,Scouting,31
6501,Assessing,1
6501,Inactive,168
7001,Scouting,31
7001,Assessing,1
7001,Inactive,168
7501,Scouting,31
7501,Assessing,1
7501,Inactive,168
8001,Scouting,31
8001,Assessing,1
8001,Inactive,168
8501,Scouting,31
8501,Assessing,1
8501,Inactive,168
9001,Scouting,31
9001,Assessing,1
9001,Inactive,168
9501,Scouting,30
9501,Assessing,2
9501,Inactive,168
10001,Scouting,30
10001,Assessing,2
10001,Inactive,168
10501,Scouting,30
10501,Assessing,2
10501,Inactive,168
11001,Scouting,29
11001,Assessing,3
11001,Inactive,168
11501,Scouting,29
11501,Assessing,3
11501,Inactive,168
12001,Scouting,29
12001,Assessing,3
12001,Inactive,168
12501,Scouting,27
12501,Assessing,5
12501,Inactive,168
13001,Scouting,26
13001,Assessing,6
13001,Inactive,168
13501,Scouting,25
13501,Assessing,7
13501,Inactive,168
14001,Scouting,25
14001,Assessing,7
14001,Inactive,168
14501,Scouting,25
14501,Assessing,7
14501,Inactive,168
15001,Scouting,25
15001,Assessing,7
15001,Inactive,168
15501,Assessing,8
15501,Scouting,24
15501,Inactive,168
16001,Assessing,8
16001,Scouting,24
16001,Inactive,168
16501,Assessing,9
16501,Scouting,23
16501,Inactive,168
17001,Assessing,9
17001,Scouting,23
17001,Inactive,168
17501,Assessing,9
17501,Scouting,23
17501,Inactive,168
18001,Assessing,9
18001,Scouting,23
18001,Inactive,168
18501,Assessing,9
18501,Scouting,23
18501,Inactive,168
19001,Assessing,9
19001,Scouting,23
19001,Inactive,168
19501,Assessing,10
19501,Scouting,22
19501,Inactive,168
20001,Assessing,10
20001,Scouting,22
20001,Inactive,168
20501,Assessing,12
20501,Scouting,20
20501,Inactive,168
21001,Assessing,12
21001,Scouting,20
21001,Inactive,168
21501,Assessing,12
21501,Scouting,20
21501,Inactive,168
22001,Assessing,12
22001,Scouting,20
22001,Inactive,168
22501,Assessing,12
22501,Scouting,20
22501,Inactive,168
23001,Assessing,12
23001,Scouting,20
23001,Inactive,168
23501,Assessing,13
23501,Scouting,19
23501,Inactive,168
24001,Assessing,12
24001,Scouting,20
24001,Inactive,168
24501,Assessing,12
24501,Scouting,20
24501,Inactive,168
25001,Assessing,12
25001,Scouting,20
25001,Inactive,168
25501,Assessing,12
25501,Scouting,20
25501,Inactive,168
26001,Assessing,13
26001,Scouting,19
26001,Inactive,168
26501,Assessing,12
26501,Scouting,20
26501,Inactive,168
27001,Assessing,13
27001,Scouting,19
27001,Inactive,168
27501,Assessing,11
27501,Scouting,19
27501,Recruiting,2
27501,Inactive,168
28001,Assessing,11
28001,Scouting,19
28001,Recruiting,2
28001,Inactive,168
28501,Assessing,9
28501,Scouting,19
28501,Recruiting,4
28501,Inactive,168
29001,Assessing,9
29001,Scouting,19
29001,Recruiting,4
29001,Inactive,168
29501,Assessing,9
29501,Scouting,19
29501,Recruiting,4
29501,Inactive,166
29501,Following,2
30001,Scouting,20
30001,Assessing,8
30001,Recruiting,4
30001,Inactive,166
30001,Following,2
30501,Scouting,18
30501,Assessing,9
30501,Recruiting,4
30501,Following,3
30501,Inactive,166
31001,Scouting,18
31001,Assessing,9
31001,Recruiting,4
31001,Following,4
31001,Inactive,165
31501,Scouting,19
31501,Assessing,7
31501,Recruiting,5
31501,Following,4
31501,Inactive,165
32001,Scouting,19
32001,Assessing,7
32001,Recruiting,5
32001,Following,4
32001,Inactive,165
32501,Scouting,19
32501,Assessing,7
32501,Recruiting,5
32501,Following,4
32501,Inactive,165
33001,Scouting,18
33001,Assessing,9
33001,Recruiting,5
33001,Inactive,165
33001,Following,3
33501,Scouting,18
33501,Assessing,9
33501,Recruiting,5
33501,Inactive,164
33501,Following,4
34001,Scouting,16
34001,Assessing,10
34001,Recruiting,5
34001,Following,5
34001,Inactive,164
34501,Scouting,17
34501,Recruiting,6
34501,Assessing,10
34501,Following,3
34501,Inactive,164
35001,Scouting,18
35001,Recruiting,6
35001,Following,2
35001,Assessing,10
35001,Inactive,164
35501,Scouting,18
35501,Recruiting,6
35501,Assessing,11
35501,Inactive,164
35501,Following,1
36001,Scouting,17
36001,Recruiting,6
36001,Following,2
36001,Assessing,11
36001,Inactive,164
36501,Scouting,17
36501,Recruiting,6
36501,Following,4
36501,Assessing,11
36501,Inactive,162
37001,Scouting,17
37001,Recruiting,6
37001,Following,4
37001,Assessing,11
37001,Inactive,162
37501,Scouting,17
37501,Recruiting,6
37501,Assessing,12
37501,Inactive,160
37501,Following,5
38001,Scouting,17
38001,Recruiting,6
38001,Assessing,12
38001,Inactive,160
38001,Following,5
38501,Scouting,16
38501,Recruiting,6
38501,Assessing,14
38501,Inactive,160
38501,Following,4
39001,Scouting,17
39001,Recruiting,6
39001,Assessing,13
39001,Inactive,160
39001,Following,4
39501,Scouting,16
39501,Recruiting,6
39501,Assessing,14
39501,Inactive,159
39501,Following,5
40001,Scouting,16
40001,Recruiting,6
40001,Assessing,14
40001,Inactive,159
40001,Following,5
40501,Scouting,16
40501,Recruiting,6
40501,Assessing,14
40501,Inactive,159
40501,Following,5
41001,Scouting,16
41001,Recruiting,6
41001,Assessing,15
41001,Inactive,158
41001,Following,5
41501,Scouting,16
41501,Recruiting,5
41501,Assessing,16
41501,Inactive,159
41501,Following,4
42001,Scouting,16
42001,Recruiting,5
42001,Assessing,17
42001,Inactive,159
42001,Following,3
42501,Scouting,16
42501,Recruiting,5
42501,Assessing,18
42501,Inactive,158
42501,Following,3
43001,Scouting,15
43001,Recruiting,5
43001,Assessing,19
43001,Inactive,157
43001,Following,4
43501,Scouting,15
43501,Recruiting,5
43501,Assessing,19
43501,Inactive,158
43501,Following,3
44001,Scouting,15
44001,Recruiting,5
44001,Assessing,20
44001,Inactive,158
44001,Following,2
44501,Scouting,15
44501,Recruiting,5
44501,Assessing,20
44501,Inactive,157
44501,Following,3
45001,Scouting,15
45001,Recruiting,5
45001,Assessing,20
45001,Inactive,157
45001,Following,3
45501,Scouting,15
45501,Recruiting,5
45501,Assessing,21
45501,Inactive,156
45501,Following,3
46001,Scouting,14
46001,Recruiting,5
46001,Assessing,22
46001,Inactive,155
46001,Following,4
46501,Scouting,14
46501,Recruiting,6
46501,Assessing,21
46501,Inactive,155
46501,Following,4
47001,Scouting,14
47001,Recruiting,6
47001,Assessing,22
47001,Inactive,155
47001,Following,3
47501,Scouting,14
47501,Recruiting,6
47501,Assessing,22
