Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Inactive,190
1501,Scouting,10
2001,Scouting,26
2001,Inactive,174
2501,Scouting,29
2501,Inactive,171
3001,Scouting,29
3001,Inactive,171
3501,Scouting,29
3501,Inactive,171
4001,Scouting,29
4001,Inactive,171
4501,Scouting,29
4501,Inactive,171
5001,Scouting,29
5001,Inactive,171
5501,Scouting,29
5501,Inactive,171
6001,Scouting,29
6001,Inactive,171
6501,Scouting,29
6501,Inactive,171
7001,Scouting,29
7001,Inactive,171
7501,Scouting,28
7501,Assessing,1
7501,Inactive,171
8001,Scouting,28
8001,Assessing,1
8001,Inactive,171
8501,Scouting,28
8501,Assessing,1
8501,Inactive,171
9001,Scouting,27
9001,Assessing,2
9001,Inactive,171
9501,Scouting,27
9501,Assessing,2
9501,Inactive,171
10001,Scouting,27
10001,Assessing,2
10001,Inactive,171
10501,Scouting,27
10501,Assessing,2
10501,Inactive,171
11001,Scouting,27
11001,Assessing,2
11001,Inactive,171
11501,Scouting,27
11501,Assessing,2
11501,Inactive,171
12001,Scouting,27
12001,Assessing,2
12001,Inactive,171
12501,Scouting,27
12501,Assessing,2
12501,Inactive,171
13001,Scouting,26
13001,Assessing,3
13001,Inactive,171
13501,Scouting,26
13501,Assessing,3
13501,Inactive,171
14001,Scouting,26
14001,Assessing,3
14001,Inactive,171
14501,Scouting,26
14501,Assessing,3
14501,Inactive,171
15001,Scouting,26
15001,Assessing,3
15001,Inactive,171
15501,Scouting,25
15501,Assessing,4
15501,Inactive,171
16001,Scouting,25
16001,Assessing,4
16001,Inactive,171
16501,Scouting,25
16501,Assessing,4
16501,Inactive,171
17001,Scouting,25
17001,Assessing,4
17001,Inactive,171
17501,Scouting,25
17501,Assessing,4
17501,Inactive,171
18001,Scouting,25
18001,Assessing,4
18001,Inactive,171
18501,Scouting,25
18501,Assessing,4
18501,Inactive,171
19001,Scouting,25
19001,Assessing,4
19001,Inactive,171
19501,Scouting,24
19501,Assessing,5
19501,Inactive,171
20001,Scouting,24
20001,Assessing,5
20001,Inactive,171
20501,Scouting,24
20501,Assessing,5
20501,Inactive,171
21001,Scouting,24
21001,Assessing,5
21001,Inactive,171
21501,Scouting,24
21501,Assessing,5
21501,Inactive,171
22001,Scouting,24
22001,Assessing,5
22001,Inactive,171
22501,Scouting,24
22501,Assessing,5
22501,Inactive,171
23001,Scouting,25
23001,Assessing,4
23001,Inactive,171
23501,Scouting,24
23501,Assessing,5
23501,Inactive,171
24001,Scouting,23
24001,Assessing,5
24001,Recruiting,1
24001,Inactive,171
24501,Scouting,23
24501,Assessing,5
24501,Recruiting,1
24501,Inactive,171
25001,Scouting,23
25001,Assessing,5
25001,Recruiting,1
25001,Inactive,171
25501,Scouting,23
25501,Assessing,5
25501,Recruiting,1
25501,Inactive,171
26001,Scouting,23
26001,Assessing,5
26001,Recruiting,1
26001,Inactive,170
26001,Following,1
26501,Scouting,23
26501,Assessing,5
26501,Recruiting,1
26501,Inactive,170
26501,Following,1
27001,Scouting,24
27001,Assessing,4
27001,Recruiting,1
27001,Inactive,170
27001,Following,1
27501,Scouting,24
27501,Assessing,4
27501,Recruiting,1
27501,Inactive,170
27501,Following,1
28001,Scouting,24
28001,Assessing,4
28001,Recruiting,1
28001,Inactive,170
28001,Following,1
28501,Scouting,24
28501,Assessing,4
28501,Recruiting,1
28501,Inactive,170
28501,Following,1
29001,Scouting,24
29001,Assessing,4
29001,Recruiting,1
29001,Inactive,170
29001,Following,1
29501,Scouting,24
29501,Assessing,4
29501,Recruiting,1
29501,Inactive,170
29501,Following,1
30001,Scouting,25
30001,Assessing,3
30001,Recruiting,1
30001,Inactive,170
30001,Following,1
30501,Scouting,25
30501,Assessing,4
30501,Recruiting,1
30501,Inactive,170
31001,Scouting,25
31001,Assessing,4
31001,Recruiting,1
31001,Inactive,170
31501,Scouting,24
31501,Assessing,5
31501,Recruiting,1
31501,Inactive,170
32001,Scouting,24
32001,Assessing,5
32001,Recruiting,1
32001,Inactive,170
32501,Scouting,22
32501,Assessing,7
32501,Recruiting,1
32501,Inactive,169
32501,Following,1
33001,Scouting,22
33001,Assessing,7
33001,Recruiting,1
33001,Inactive,169
33001,Following,1
33501,Scouting,22
33501,Assessing,7
33501,Recruiting,1
33501,Inactive,169
33501,Following,1
34001,Scouting,22
34001,Assessing,7
34001,Recruiting,1
34001,Inactive,169
34001,Following,1
34501,Scouting,22
34501,Assessing,7
34501,Recruiting,1
34501,Inactive,169
34501,Following,1
35001,Scouting,22
35001,Assessing,7
35001,Recruiting,1
35001,Inactive,169
35001,Following,1
35501,Scouting,22
35501,Assessing,7
35501,Recruiting,1
35501,Inactive,169
35501,Following,1
36001,Scouting,22
36001,Assessing,7
36001,Recruiting,1
36001,Inactive,169
36001,Following,1
36501,Scouting,22
36501,Assessing,7
36501,Recruiting,1
36501,Inactive,169
36501,Following,1
37001,Scouting,22
37001,Recruiting,2
37001,Assessing,7
37001,Inactive,169
37501,Scouting,22
37501,Recruiting,2
37501,Assessing,7
37501,Inactive,169
38001,Scouting,21
38001,Recruiting,2
38001,Assessing,7
38001,Following,1
38001,Inactive,169
38501,Scouting,21
38501,Recruiting,2
38501,Assessing,7
38501,Following,1
38501,Inactive,169
39001,Scouting,21
39001,Recruiting,2
39001,Assessing,8
39001,Inactive,168
39001,Following,1
39501,Scouting,21
39501,Recruiting,2
39501,Assessing,8
39501,Inactive,168
39501,Following,1
40001,Scouting,21
40001,Recruiting,2
40001,Assessing,8
40001,Inactive,168
40001,Following,1
40501,Scouting,19
40501,Recruiting,2
40501,Assessing,9
40501,Following,2
40501,Inactive,168
41001,Scouting,19
41001,Recruiting,2
41001,Assessing,9
41001,Following,2
41001,Inactive,168
41501,Scouting,19
41501,Recruiting,3
41501,Assessing,8
41501,Following,2
41501,Inactive,168
42001,Scouting,18
42001,Recruiting,3
42001,Assessing,8
42001,Following,3
42001,Inactive,168
42501,Scouting,18
42501,Recruiting,3
42501,Assessing,9
42501,Inactive,168
42501,Following,2
43001,Assessing,9
43001,Scouting,17
43001,Recruiting,4
43001,Inactive,168
43001,Following,2
43501,Assessing,10
43501,Recruiting,4
43501,Scouting,16
43501,Inactive,168
43501,Following,2
44001,Assessing,12
44001,Recruiting,4
44001,Scouting,16
44001,Inactive,168
44501,Assessing,12
44501,Recruiting,4
44501,Scouting,15
44501,Following,1
44501,Inactive,168
45001,Assessing,12
45001,Recruiting,4
45001,Scouting,15
45001,Following,2
45001,Inactive,167
45501,Assessing,13
45501,Recruiting,4
45501,Scouting,14
45501,Following,2
45501,Inactive,167
46001,Assessing,13
46001,Recruiting,4
46001,Scouting,14
46001,Following,4
46001,Inactive,165
46501,Assessing,12
46501,Recruiting,4
46501,Scouting,15
46501,Following,4
46501,Inactive,165
47001,Assessing,13
47001,Recruiting,4
47001,Scouting,14
47001,Following,4
