Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Scouting,17
1501,Inactive,183
2001,Scouting,42
2001,Inactive,158
2501,Scouting,50
2501,Inactive,150
3001,Scouting,50
3001,Inactive,150
3501,Scouting,50
3501,Inactive,150
4001,Scouting,50
4001,Inactive,150
4501,Scouting,50
4501,Inactive,150
5001,Scouting,49
5001,Assessing,1
5001,Inactive,150
5501,Scouting,49
5501,Assessing,1
5501,Inactive,150
6001,Scouting,48
6001,Assessing,2
6001,Inactive,150
6501,Scouting,47
6501,Assessing,3
6501,Inactive,150
7001,Scouting,47
7001,Assessing,3
7001,Inactive,150
7501,Scouting,47
7501,Assessing,3
7501,Inactive,150
8001,Scouting,46
8001,Assessing,4
8001,Inactive,150
8501,Scouting,46
8501,Assessing,4
8501,Inactive,150
9001,Scouting,46
9001,Assessing,4
9001,Inactive,150
9501,Scouting,46
9501,Assessing,4
9501,Inactive,150
10001,Scouting,46
10001,Assessing,4
10001,Inactive,150
10501,Scouting,46
10501,Assessing,4
10501,Inactive,150
11001,Scouting,46
11001,Assessing,4
11001,Inactive,150
11501,Scouting,46
11501,Assessing,4
11501,Inactive,150
12001,Scouting,46
12001,Assessing,4
12001,Inactive,150
12501,Scouting,46
12501,Assessing,4
12501,Inactive,150
13001,Scouting,46
13001,Assessing,4
13001,Inactive,150
13501,Scouting,46
13501,Assessing,4
13501,Inactive,150
14001,Scouting,46
14001,Assessing,4
14001,Inactive,150
14501,Scouting,46
14501,Assessing,4
14501,Inactive,150
15001,Scouting,46
15001,Assessing,4
15001,Inactive,150
15501,Scouting,46
15501,Assessing,4
15501,Inactive,150
16001,Scouting,46
16001,Assessing,4
16001,Inactive,150
16501,Scouting,46
16501,Assessing,4
16501,Inactive,150
17001,Scouting,46
17001,Assessing,4
17001,Inactive,150
17501,Scouting,46
17501,Assessing,4
17501,Inactive,150
18001,Scouting,46
18001,Assessing,4
18001,Inactive,150
18501,Scouting,46
18501,Assessing,4
18501,Inactive,150
19001,Scouting,46
19001,Assessing,4
19001,Inactive,150
19501,Scouting,46
19501,Assessing,4
19501,Inactive,150
20001,Scouting,46
20001,Assessing,4
20001,Inactive,150
20501,Scouting,46
20501,Assessing,4
20501,Inactive,150
21001,Scouting,46
21001,Assessing,4
21001,Inactive,150
21501,Assessing,5
21501,Scouting,45
21501,Inactive,150
22001,Assessing,3
22001,Scouting,46
22001,Recruiting,1
22001,Inactive,150
22501,Assessing,2
22501,Scouting,47
22501,Recruiting,1
22501,Inactive,150
23001,Assessing,2
23001,Scouting,47
23001,Recruiting,1
23001,Inactive,150
23501,Assessing,4
23501,Scouting,45
23501,Recruiting,1
23501,Inactive,150
24001,Assessing,3
24001,Scouting,46
24001,Recruiting,1
24001,Inactive,150
24501,Assessing,3
24501,Scouting,46
24501,Recruiting,1
24501,Inactive,150
25001,Assessing,4
25001,Scouting,45
25001,Recruiting,1
25001,Inactive,150
25501,Assessing,5
25501,Scouting,44
25501,Recruiting,1
25501,Inactive,150
26001,Assessing,6
26001,Scouting,43
26001,Recruiting,1
26001,Inactive,150
26501,Assessing,6
26501,Scouting,43
26501,Recruiting,1
26501,Inactive,150
27001,Assessing,6
27001,Scouting,43
27001,Recruiting,1
27001,Inactive,150
27501,Assessing,6
27501,Scouting,43
27501,Recruiting,1
27501,Inactive,150
28001,Assessing,6
28001,Scouting,43
28001,Recruiting,1
28001,Inactive,150
28501,Assessing,6
28501,Scouting,43
28501,Recruiting,1
28501,Inactive,150
29001,Assessing,7
29001,Scouting,42
29001,Recruiting,1
29001,Inactive,150
29501,Assessing,7
29501,Scouting,42
29501,Recruiting,1
29501,Inactive,150
30001,Assessing,7
30001,Scouting,42
30001,Recruiting,1
30001,Inactive,150
30501,Assessing,8
30501,Scouting,41
30501,Recruiting,1
30501,Inactive,150
31001,Assessing,8
31001,Scouting,41
31001,Recruiting,1
31001,Inactive,150
31501,Assessing,9
31501,Scouting,40
31501,Recruiting,1
31501,Inactive,150
32001,Assessing,10
32001,Scouting,39
32001,Recruiting,1
32001,Inactive,150
32501,Assessing,10
32501,Scouting,39
32501,Recruiting,1
32501,Inactive,150
33001,Assessing,10
33001,Scouting,39
33001,Recruiting,1
33001,Inactive,150
33501,Assessing,11
33501,Scouting,38
33501,Recruiting,1
33501,Inactive,150
