Tick,AntId,State,PosX,PosY,PosZ
0,0,Inactive,39.002,0.1,24.003
0,1,Inactive,38.998,0.1,24.197
0,2,Inactive,39,0.1,24.4
0,3,Inactive,38.998,0.1,24.603
0,4,Inactive,38.996,0.1,24.799
0,5,Inactive,38.996,0.1,25.002
0,6,Inactive,38.996,0.1,25.199
0,7,Inactive,38.997,0.1,25.398
0,8,Inactive,39.2,0.1,24
0,9,Inactive,39.198,0.1,24.204
0,10,Inactive,39.2,0.1,24.4
0,11,Inactive,39.197,0.1,24.603
0,12,Inactive,39.2,0.1,24.8
0,13,Inactive,39.2,0.1,25
0,14,Inactive,39.2,0.1,25.2
0,15,Inactive,39.2,0.1,25.4
0,16,Inactive,39.4,0.1,24
0,17,Inactive,39.4,0.1,24.2
0,18,Inactive,39.4,0.1,24.4
0,19,Inactive,39.4,0.1,24.6
0,20,Inactive,39.4,0.1,24.8
0,21,Inactive,39.4,0.1,25
0,22,Inactive,39.4,0.1,25.2
0,23,Inactive,39.4,0.1,25.4
0,24,Inactive,39.6,0.1,24
0,25,Inactive,39.6,0.1,24.2
0,26,Inactive,39.6,0.1,24.4
0,27,Inactive,39.6,0.1,24.6
0,28,Inactive,39.6,0.1,24.8
0,29,Inactive,39.6,0.1,25
0,30,Inactive,39.6,0.1,25.2
0,31,Inactive,39.6,0.1,25.4
0,32,Inactive,39.8,0.1,24
0,33,Inactive,39.8,0.1,24.2
0,34,Inactive,39.8,0.1,24.4
0,35,Inactive,39.8,0.1,24.6
0,36,Inactive,39.8,0.1,24.8
0,37,Inactive,39.8,0.1,25
0,38,Inactive,39.8,0.1,25.2
0,39,Inactive,39.8,0.1,25.4
0,40,Inactive,40,0.1,24
0,41,Inactive,40,0.1,24.2
0,42,Inactive,40,0.1,24.4
0,43,Inactive,40,0.1,24.6
0,44,Inactive,40,0.1,24.8
0,45,Inactive,40,0.1,25
0,46,Inactive,40,0.1,25.2
0,47,Inactive,40,0.1,25.4
0,48,Inactive,40.2,0.1,24
0,49,Inactive,40.2,0.1,24.2
50,0,Scouting,38.856,0.1,23.982
50,1,Scouting,38.812,0.1,24.144
50,2,Scouting,39.016,0.1,24.456
50,3,Scouting,38.819,0.1,24.625
50,4,Scouting,38.783,0.1,24.798
50,5,Scouting,39.003,0.1,25.075
