Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Scouting,16
1501,Inactive,184
2001,Scouting,34
2001,Inactive,166
2501,Scouting,49
2501,Inactive,151
3001,Scouting,49
3001,Inactive,151
3501,Scouting,49
3501,Inactive,151
4001,Scouting,49
4001,Inactive,151
4501,Scouting,49
4501,Inactive,151
5001,Scouting,49
5001,Inactive,151
5501,Scouting,49
5501,Inactive,151
6001,Scouting,49
6001,Inactive,151
6501,Scouting,48
6501,Inactive,151
6501,Assessing,1
7001,Scouting,46
7001,Assessing,3
7001,Inactive,151
7501,Scouting,46
7501,Assessing,3
7501,Inactive,151
8001,Scouting,45
8001,Assessing,4
8001,Inactive,151
8501,Scouting,44
8501,Assessing,5
8501,Inactive,151
9001,Scouting,44
9001,Assessing,5
9001,Inactive,151
9501,Scouting,44
9501,Assessing,5
9501,Inactive,151
10001,Scouting,44
10001,Assessing,5
10001,Inactive,151
10501,Scouting,43
10501,Assessing,6
10501,Inactive,151
11001,Scouting,43
11001,Assessing,6
11001,Inactive,151
11501,Scouting,42
11501,Assessing,7
11501,Inactive,151
12001,Scouting,42
12001,Assessing,7
12001,Inactive,151
12501,Scouting,42
12501,Assessing,7
12501,Inactive,151
13001,Scouting,40
13001,Assessing,9
13001,Inactive,151
13501,Scouting,40
13501,Assessing,9
13501,Inactive,151
14001,Scouting,40
14001,Assessing,9
14001,Inactive,151
14501,Scouting,40
14501,Assessing,9
14501,Inactive,151
15001,Scouting,39
15001,Assessing,10
15001,Inactive,151
15501,Scouting,39
15501,Assessing,10
15501,Inactive,151
16001,Scouting,38
16001,Assessing,11
16001,Inactive,151
16501,Scouting,38
16501,Assessing,11
16501,Inactive,151
17001,Scouting,38
17001,Assessing,11
17001,Inactive,151
17501,Scouting,37
17501,Assessing,12
17501,Inactive,151
18001,Scouting,37
18001,Assessing,12
18001,Inactive,151
18501,Scouting,36
18501,Assessing,13
18501,Inactive,151
19001,Scouting,36
19001,Assessing,13
19001,Inactive,151
19501,Scouting,36
19501,Assessing,12
19501,Recruiting,1
19501,Inactive,151
20001,Scouting,36
20001,Assessing,12
20001,Recruiting,1
20001,Inactive,151
20501,Scouting,36
20501,Assessing,12
20501,Recruiting,1
20501,Inactive,151
21001,Scouting,36
21001,Assessing,12
21001,Recruiting,1
21001,Inactive,151
21501,Scouting,36
21501,Assessing,12
21501,Recruiting,1
21501,Inactive,151
22001,Scouting,35
22001,Assessing,13
22001,Recruiting,1
22001,Inactive,151
22501,Scouting,35
22501,Assessing,12
22501,Inactive,152
22501,Reversing,1
23001,Scouting,35
23001,Assessing,11
23001,Inactive,152
23001,Recruiting,2
23501,Scouting,36
23501,Assessing,10
23501,Inactive,152
23501,Recruiting,2
24001,Scouting,36
24001,Assessing,10
24001,Inactive,152
24001,Recruiting,2
24501,Scouting,35
24501,Assessing,11
24501,Inactive,152
24501,Recruiting,2
25001,Scouting,34
25001,Assessing,12
25001,Inactive,152
25001,Recruiting,2
25501,Scouting,34
25501,Assessing,11
25501,Inactive,152
25501,Recruiting,3
26001,Scouting,34
26001,Inactive,152
26001,Assessing,11
26001,Recruiting,3
26501,Scouting,34
26501,Inactive,152
26501,Assessing,11
26501,Recruiting,3
27001,Scouting,33
27001,Inactive,153
27001,Assessing,11
27001,Recruiting,2
27001,Reversing,1
27501,Scouting,33
27501,Inactive,153
27501,Assessing,11
27501,Recruiting,3
28001,Scouting,34
28001,Inactive,153
28001,Assessing,9
28001,Reversing,1
28001,Recruiting,3
28501,Scouting,34
28501,Inactive,153
28501,Assessing,9
28501,Recruiting,4
29001,Scouting,35
29001,Inactive,153
29001,Assessing,8
29001,Recruiting,4
29501,Scouting,35
29501,Inactive,153
29501,Assessing,8
29501,Recruiting,4
30001,Scouting,34
30001,Inactive,153
30001,Assessing,9
30001,Recruiting,4
30501,Scouting,33
30501,Assessing,10
30501,Inactive,153
30501,Recruiting,4
31001,Scouting,33
31001,Assessing,10
31001,Inactive,153
31001,Recruiting,4
31501,Scouting,33
31501,Assessing,10
31501,Inactive,153
31501,Recruiting,4
32001,Scouting,35
32001,Assessing,8
32001,Inactive,153
32001,Recruiting,4
32501,Scouting,35
32501,Assessing,8
32501,Inactive,153
32501,Recruiting,4
33001,Scouting,34
33001,Assessing,8
33001,Inactive,153
33001,Recruiting,2
33001,Following,1
33001,Reversing,2
33501,Scouting,34
33501,Assessing,8
33501,Inactive,153
33501,Recruiting,3
33501,Following,1
33501,Reversing,1
34001,Scouting,34
34001,Assessing,8
34001,Inactive,153
34001,Reversing,2
34001,Following,1
34001,Recruiting,2
34501,Scouting,35
34501,Assessing,7
34501,Inactive,153
34501,Recruiting,3
34501,Following,1
34501,Reversing,1
35001,Scouting,34
35001,Assessing,7
35001,Inactive,154
35001,Recruiting,3
35001,Following,1
35001,Reversing,1
35501,Scouting,33
35501,Assessing,8
35501,Inactive,154
35501,Recruiting,3
35501,Following,1
35501,Reversing,1
36001,Scouting,32
36001,Assessing,8
36001,Inactive,155
36001,Recruiting,2
36001,Following,1
36001,Reversing,2
36501,Scouting,30
36501,Assessing,9
36501,Inactive,155
36501,Recruiting,2
36501,Following,2
36501,Reversing,2
37001,Scouting,29
37001,Assessing,10
37001,Inactive,155
37001,Recruiting,2
37001,Following,2
37001,Reversing,2
37501,Scouting,30
37501,Inactive,155
37501,Assessing,9
37501,Recruiting,2
37501,Reversing,3
37501,Following,1
38001,Scouting,30
38001,Inactive,155
38001,Assessing,9
38001,Recruiting,3
38001,Reversing,2
38001,Following,1
38501,Scouting,30
38501,Inactive,155
38501,Assessing,9
38501,Recruiting,3
38501,Reversing,2
38501,Following,1
39001,Scouting,31
39001,Inactive,155
39001,Assessing,8
39001,Recruiting,3
39001,Reversing,2
39001,Following,1
39501,Scouting,30
39501,Inactive,154
39501,Assessing,9
39501,Recruiting,3
39501,Following,2
39501,Reversing,2
40001,Scouting,30
40001,Inactive,154
40001,Assessing,9
40001,Recruiting,3
40001,Following,2
40001,Reversing,2
40501,Scouting,30
40501,Inactive,154
40501,Assessing,9
40501,Recruiting,3
40501,Following,2
40501,Reversing,2
