Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Scouting,10
1501,Inactive,190
2001,Scouting,31
2001,Inactive,169
2501,Scouting,39
2501,Inactive,161
3001,Scouting,39
3001,Inactive,161
3501,Scouting,39
3501,Inactive,161
4001,Scouting,40
4001,Inactive,160
4501,Scouting,40
4501,Inactive,160
5001,Scouting,40
5001,Inactive,160
5501,Scouting,40
5501,Inactive,160
6001,Scouting,39
6001,Assessing,1
6001,Inactive,160
6501,Scouting,39
6501,Assessing,1
6501,Inactive,160
7001,Scouting,39
7001,Assessing,1
7001,Inactive,160
7501,Scouting,38
7501,Assessing,2
7501,Inactive,160
8001,Scouting,38
8001,Assessing,2
8001,Inactive,160
8501,Scouting,36
8501,Assessing,4
8501,Inactive,160
9001,Scouting,36
9001,Assessing,4
9001,Inactive,160
9501,Scouting,36
9501,Assessing,4
9501,Inactive,160
10001,Scouting,36
10001,Assessing,4
10001,Inactive,160
10501,Scouting,36
10501,Assessing,4
10501,Inactive,160
11001,Scouting,36
11001,Assessing,4
11001,Inactive,160
11501,Scouting,36
11501,Assessing,4
11501,Inactive,160
12001,Scouting,36
12001,Assessing,4
12001,Inactive,160
12501,Scouting,35
12501,Assessing,5
12501,Inactive,160
13001,Scouting,34
13001,Assessing,6
13001,Inactive,160
13501,Scouting,33
13501,Assessing,7
13501,Inactive,160
14001,Scouting,33
14001,Assessing,7
14001,Inactive,160
14501,Scouting,33
14501,Assessing,7
14501,Inactive,160
15001,Scouting,33
15001,Assessing,7
15001,Inactive,160
15501,Scouting,33
15501,Assessing,7
15501,Inactive,160
16001,Scouting,33
16001,Assessing,7
16001,Inactive,160
16501,Scouting,33
16501,Assessing,7
16501,Inactive,160
17001,Scouting,31
17001,Assessing,9
17001,Inactive,160
17501,Scouting,30
17501,Assessing,10
17501,Inactive,160
18001,Scouting,30
18001,Assessing,10
18001,Inactive,160
18501,Assessing,13
18501,Scouting,27
18501,Inactive,160
19001,Assessing,13
19001,Scouting,27
19001,Inactive,160
19501,Assessing,13
19501,Scouting,27
19501,Inactive,160
20001,Assessing,13
20001,Scouting,27
20001,Inactive,160
20501,Assessing,13
20501,Scouting,27
20501,Inactive,160
21001,Assessing,13
21001,Scouting,27
21001,Inactive,160
21501,Assessing,13
21501,Scouting,27
21501,Inactive,160
22001,Assessing,12
22001,Scouting,28
22001,Inactive,160
22501,Assessing,12
22501,Scouting,28
22501,Inactive,160
23001,Assessing,12
23001,Scouting,28
23001,Inactive,160
23501,Assessing,12
23501,Scouting,28
23501,Inactive,160
24001,Assessing,12
24001,Scouting,28
24001,Inactive,160
24501,Assessing,12
24501,Scouting,28
24501,Inactive,160
25001,Assessing,12
25001,Scouting,28
25001,Inactive,160
25501,Assessing,10
25501,Scouting,28
25501,Recruiting,2
25501,Inactive,160
26001,Assessing,11
26001,Scouting,27
26001,Recruiting,2
26001,Inactive,160
26501,Assessing,10
26501,Scouting,28
26501,Recruiting,2
26501,Inactive,160
27001,Assessing,9
27001,Scouting,29
27001,Recruiting,2
27001,Inactive,160
27501,Assessing,10
27501,Scouting,28
27501,Following,1
27501,Recruiting,1
27501,Inactive,160
28001,Assessing,12
28001,Scouting,26
28001,Following,1
28001,Recruiting,1
28001,Inactive,160
28501,Assessing,13
28501,Scouting,25
28501,Following,1
28501,Recruiting,1
28501,Inactive,160
29001,Assessing,13
29001,Scouting,25
29001,Following,1
29001,Recruiting,1
29001,Inactive,160
29501,Assessing,11
29501,Scouting,27
29501,Following,1
29501,Recruiting,1
29501,Inactive,160
30001,Assessing,11
30001,Scouting,27
30001,Following,1
30001,Recruiting,1
30001,Inactive,160
30501,Assessing,12
30501,Scouting,27
30501,Recruiting,1
30501,Inactive,160
31001,Assessing,12
31001,Scouting,27
31001,Recruiting,1
31001,Inactive,160
31501,Assessing,12
31501,Scouting,27
31501,Recruiting,1
31501,Inactive,160
32001,Assessing,11
32001,Scouting,28
32001,Recruiting,1
32001,Inactive,160
32501,Recruiting,2
32501,Scouting,29
32501,Assessing,9
32501,Inactive,160
33001,Recruiting,2
33001,Scouting,29
33001,Assessing,9
33001,Inactive,159
33001,Following,1
33501,Recruiting,2
33501,Scouting,31
33501,Assessing,7
33501,Inactive,159
33501,Following,1
34001,Recruiting,2
34001,Scouting,30
34001,Assessing,8
34001,Inactive,159
34001,Following,1
34501,Recruiting,2
34501,Scouting,30
34501,Assessing,8
34501,Inactive,159
34501,Following,1
35001,Recruiting,2
35001,Scouting,31
35001,Assessing,7
35001,Inactive,158
35001,Following,2
35501,Recruiting,2
35501,Scouting,31
35501,Assessing,7
35501,Inactive,158
35501,Following,2
36001,Recruiting,2
36001,Scouting,30
36001,Assessing,8
36001,Inactive,158
36001,Following,2
36501,Recruiting,2
36501,Scouting,30
36501,Assessing,8
36501,Inactive,158
36501,Following,2
37001,Recruiting,2
37001,Scouting,29
37001,Assessing,9
37001,Inactive,158
37001,Following,2
37501,Recruiting,2
37501,Scouting,29
37501,Assessing,9
37501,Inactive,158
37501,Following,2
38001,Recruiting,2
38001,Scouting,29
38001,Assessing,10
38001,Inactive,158
38001,Following,1
38501,Recruiting,2
38501,Scouting,29
38501,Assessing,10
38501,Inactive,158
38501,Following,1
39001,Recruiting,2
39001,Scouting,29
39001,Assessing,10
39001,Inactive,158
39001,Following,1
39501,Recruiting,2
39501,Scouting,29
39501,Assessing,11
39501,Inactive,158
40001,Recruiting,3
40001,Scouting,29
40001,Assessing,10
40001,Inactive,158
40501,Recruiting,3
40501,Scouting,29
40501,Assessing,10
40501,Inactive,158
