Tick,NestId,Inactive,Assessing,Recruiting,Reversing
1,0,200,0,0,0
1,1,0,0,0,0
1,2,0,0,0,0
501,0,200,0,0,0
501,1,0,0,0,0
501,2,0,0,0,0
1001,0,200,0,0,0
1001,1,0,0,0,0
1001,2,0,0,0,0
1501,0,190,0,0,0
1501,1,0,0,0,0
1501,2,0,0,0,0
2001,0,174,0,0,0
2001,1,0,0,0,0
2001,2,0,0,0,0
2501,0,170,0,0,0
2501,1,0,0,0,0
2501,2,0,0,0,0
3001,0,170,0,0,0
3001,1,0,0,0,0
3001,2,0,0,0,0
3501,0,170,0,0,0
3501,1,0,0,0,0
3501,2,0,0,0,0
4001,0,170,0,0,0
4001,1,0,0,0,0
4001,2,0,0,0,0
4501,0,170,0,0,0
4501,1,0,0,0,0
4501,2,0,0,0,0
5001,0,170,0,0,0
5001,1,0,0,0,0
5001,2,0,0,0,0
5501,0,170,0,0,0
5501,1,0,0,0,0
5501,2,0,0,0,0
6001,0,170,0,0,0
6001,1,0,0,0,0
6001,2,0,0,0,0
6501,0,170,0,0,0
6501,1,0,0,0,0
6501,2,0,1,0,0
7001,0,170,0,0,0
7001,1,0,0,0,0
7001,2,0,1,0,0
7501,0,170,0,0,0
7501,1,0,0,0,0
7501,2,0,1,0,0
